Symbol	Training_Set	NetWAS_Score
RTN1	-1	-0.0894053
HHEX	-1	-0.0894151
PEPD	-1	-0.089535
ABHD8	-1	-0.0900241
HIST1H3J	-1	-0.0900444
ESRRB	-1	-0.090118
CD19	-1	-0.0902044
HIST2H2AC	-1	-0.0904866
TRPC7	-1	-0.0906111
TRAF6	-1	-0.0908329
OR52A1	-1	-0.0918405
ARL9	-1	-0.0920121
NMNAT2	-1	-0.0921276
GPR161	-1	-0.0923654
KSR2	-1	-0.0937806
TMEM74	-1	-0.0938404
RAD54L	-1	-0.0950549
MOV10	-1	-0.0951307
AKR1C3	-1	-0.095465
SLC4A10	-1	-0.0955087
MT1B	-1	-0.0962846
DNAJC17	-1	-0.09637
OTUD7A	-1	-0.0969469
FUT5	-1	-0.0975253
GJA3	-1	-0.0976867
GABRR2	-1	-0.0978664
CFHR3	-1	-0.0981491
NIPSNAP3B	-1	-0.0988187
DMXL1	-1	-0.0990882
ORM2	-1	-0.0995751
PDE12	-1	-0.0997948
CENPP	-1	-0.0999772
TMC7	-1	-0.10036
PXDNL	-1	-0.100451
DCPS	-1	-0.100954
ANKS4B	-1	-0.101663
PCDHB3	0	-0.101663
CDKL3	-1	-0.10182
ADAM2	-1	-0.102515
SERPINA10	-1	-0.102872
HIST1H2BG	-1	-0.102914
FCRL2	-1	-0.103374
ATF6B	0	-0.103898
HIST1H2BL	1	-0.104031
PRDM13	-1	-0.104101
CLEC4M	-1	-0.104436
FNDC1	-1	-0.104631
IBSP	-1	-0.105039
SGTA	-1	-0.105312
PIWIL2	-1	-0.105875
C16orf74	-1	-0.105994
ASB7	-1	-0.10605
HAMP	-1	-0.106744
SLC6A4	-1	-0.106761
UBL7	-1	-0.106857
CXorf56	0	-0.107111
SMARCAL1	-1	-0.107165
CCDC68	-1	-0.107443
MIA2	-1	-0.10769
ACYP2	-1	-0.107718
ANGPTL7	-1	-0.107862
ZNF836	-1	-0.107864
PIPOX	-1	-0.10809
BTNL2	-1	-0.108227
DPPA4	-1	-0.108364
SMR3A	-1	-0.108489
PPIB	-1	-0.109259
KLHL31	-1	-0.109288
ZNF175	-1	-0.109629
SLC25A2	-1	-0.110087
AUH	-1	-0.11012
ZNF154	-1	-0.11052
PCDHB13	0	-0.110587
CHRM4	-1	-0.110819
LIX1	-1	-0.111471
UCP3	-1	-0.111841
ZNF205	-1	-0.112014
KDELC1	-1	-0.112316
SULT1C4	-1	-0.112547
ONECUT3	-1	-0.112771
RYR2	-1	-0.113004
SLC18A1	-1	-0.113518
SCN10A	-1	-0.113566
ZNF502	-1	-0.113793
ALPPL2	0	-0.114575
DPYS	-1	-0.114761
HTRA2	-1	-0.114994
FGFR4	-1	-0.115035
CPLX2	-1	-0.115123
GLTPD2	-1	-0.115183
KCNMB3	-1	-0.115554
MAP4K2	-1	-0.116024
ZNF343	-1	-0.116432
C22orf31	-1	-0.117005
VCY	0	-0.117188
CYP4F2	-1	-0.11719
EXOSC9	-1	-0.117284
TM4SF4	-1	-0.11819
DENND4C	-1	-0.118592
FAM124A	-1	-0.118834
XXYLT1	0	-0.119586
TPTE2	-1	-0.120065
GMDS	-1	-0.120093
CEP152	-1	-0.120758
WWOX	-1	-0.120928
CPXM1	-1	-0.121228
KIAA0586	-1	-0.121413
PBLD	-1	-0.123231
ITGA1	-1	-0.123231
SKAP2	-1	-0.123292
OGDHL	-1	-0.123415
MYH7B	-1	-0.123568
ITGB2	-1	-0.123643
KLKB1	-1	-0.124053
TTBK2	-1	-0.124153
C3orf35	-1	-0.124302
TM6SF1	-1	-0.124413
APOA2	-1	-0.124466
SEMG1	-1	-0.124507
LY86	-1	-0.125245
EVI5	-1	-0.125261
HIST2H4B	0	-0.125791
DCLK3	-1	-0.12591
ACR	-1	-0.12675
BCAN	-1	-0.127227
ASCL2	-1	-0.12731
DYRK1B	-1	-0.127781
ERH	-1	-0.127949
CRHBP	-1	-0.128164
PAQR7	-1	-0.128328
MLNR	-1	-0.12907
ZNHIT2	-1	-0.129746
ZFAND6	-1	-0.129758
MUSK	-1	-0.130438
TBC1D22A	-1	-0.130528
ARMC2	-1	-0.130846
LYZL1	-1	-0.130939
WNT16	-1	-0.131134
FLG2	-1	-0.13126
LLPH	-1	-0.131819
SLC22A10	-1	-0.131912
NMT2	-1	-0.132009
ABCA4	-1	-0.132023
ZNF20	-1	-0.132109
IFI35	-1	-0.132435
SLAMF9	-1	-0.132473
OAZ3	-1	-0.132651
PHLDB3	-1	-0.132888
SPDYE1	-1	-0.133661
AKR7A3	-1	-0.133711
APOA1	-1	-0.134832
TIGD2	-1	-0.134886
CSN1S1	-1	-0.135465
ZNF329	-1	-0.135637
NEK4	-1	-0.135679
FCER1A	-1	-0.136036
HLA-DPB1	0	-0.136868
VPS41	-1	-0.136943
LGMN	-1	-0.137161
GRB14	-1	-0.137336
GSTA3	-1	-0.137723
SEMG2	-1	-0.13779
R3HDM1	-1	-0.137955
OR1A1	-1	-0.138023
ZNF563	-1	-0.138094
OPRL1	-1	-0.138722
TAL2	-1	-0.14004
TRIM48	-1	-0.140347
GINS1	-1	-0.140445
LRRC28	-1	-0.140459
CTNNB1	-1	-0.14088
SLC26A8	-1	-0.141005
RBMXL2	-1	-0.14109
LGALS9	-1	-0.141231
RTBDN	-1	-0.141566
NECAB1	-1	-0.141617
KATNAL2	-1	-0.141784
RGS7BP	-1	-0.141868
DCT	-1	-0.141871
MICB	0	-0.141876
C2orf27A	0	-0.142164
RPL39L	-1	-0.142264
ZNF135	-1	-0.142788
ANKRD2	-1	-0.143254
PDE8A	-1	-0.143279
TMED6	-1	-0.143429
STIM2	-1	-0.14355
CDKN2D	-1	-0.143639
PIP	-1	-0.143963
HOXA2	-1	-0.144134
TRIM42	-1	-0.144219
MIXL1	-1	-0.14479
KRT27	-1	-0.145185
ID3	-1	-0.145473
TDRD3	-1	-0.145837
ADCK1	-1	-0.14636
SLC30A4	-1	-0.146574
SHROOM1	-1	-0.146664
PDE4DIP	-1	-0.146871
CCL3	-1	-0.146904
NAT8B	0	-0.146906
FCRL4	-1	-0.147002
LRRC37A3	-1	-0.147278
PDCL3	-1	-0.147893
SPOCK2	-1	-0.148276
IFIT5	-1	-0.148339
MAMDC2	-1	-0.148831
PIK3C2B	-1	-0.148868
SERPINI2	-1	-0.14897
CCDC63	-1	-0.149121
CHST10	-1	-0.149312
ST3GAL3	-1	-0.149566
PDLIM3	-1	-0.149802
SIRT4	-1	-0.149987
FBXO39	-1	-0.150281
ARG1	-1	-0.150495
AQP8	-1	-0.150567
IFNA13	-1	-0.150809
TBL2	-1	-0.151061
EML4	-1	-0.151082
FAM161A	-1	-0.151254
CTRC	-1	-0.151753
DLX6	-1	-0.151813
WTIP	-1	-0.151937
PCDHB12	0	-0.151971
HIRIP3	-1	-0.152042
FSIP1	-1	-0.152091
ERCC2	-1	-0.15223
NMUR1	-1	-0.152564
CALCB	-1	-0.15285
EPHA6	-1	-0.15293
ZNF501	-1	-0.152934
A4GNT	-1	-0.15398
ITM2B	-1	-0.153993
FHIT	-1	-0.154199
SNX25	-1	-0.154525
MORC1	-1	-0.154628
DDX60	-1	-0.154705
CYP1A2	-1	-0.15517
CENPJ	-1	-0.155402
LMNB1	-1	-0.155707
RHEBL1	-1	-0.155904
CDH22	-1	-0.155965
RNF121	-1	-0.156102
CR2	-1	-0.156209
CYP2C8	-1	-0.156345
NXF3	0	-0.156384
RBPMS2	-1	-0.156418
EXO1	-1	-0.156539
RPE65	-1	-0.156632
TPRG1	-1	-0.156894
CYP2U1	-1	-0.157146
SLC6A16	-1	-0.157174
CARHSP1	-1	-0.157184
RAB7A	-1	-0.157188
MYO15A	-1	-0.157497
IGSF5	-1	-0.157953
OR2H2	0	-0.158216
C8A	-1	-0.158361
FAT3	-1	-0.15837
SLC25A21	-1	-0.158721
IFNA6	-1	-0.158909
PCDH10	-1	-0.158988
GNG4	-1	-0.159087
RASSF1	-1	-0.159199
CRP	-1	-0.159623
ZNF668	-1	-0.159866
PKD2L2	-1	-0.160232
GJD2	-1	-0.160425
DEFA4	-1	-0.160615
ZKSCAN4	1	-0.160644
MARCH11	-1	-0.160921
RPA4	0	-0.16094
ZNF215	-1	-0.160981
TYRP1	-1	-0.161207
FLT4	-1	-0.161402
HOXD10	-1	-0.161443
DPPA2	-1	-0.16148
SOX5	-1	-0.161502
PROC	-1	-0.161503
AKIRIN2	-1	-0.161776
APOBEC3B	-1	-0.161842
GCAT	-1	-0.162123
TPPP2	-1	-0.162267
CYP4A22	-1	-0.162291
WRNIP1	-1	-0.162355
RBM24	-1	-0.162416
TEK	-1	-0.162523
LCE2D	-1	-0.16259
MAGEA11	0	-0.163167
FKBP6	-1	-0.163213
PAAF1	-1	-0.163227
MAT1A	-1	-0.163485
TSPYL4	-1	-0.163646
PLAC8L1	-1	-0.163733
RNASE2	-1	-0.164108
OTOR	-1	-0.164196
N4BP2L1	-1	-0.164227
GPC6	-1	-0.164269
ICAM4	-1	-0.164479
GAGE7	0	-0.164639
CHODL	-1	-0.164661
TSPAN4	-1	-0.164717
TRAF3IP1	-1	-0.164735
OR13D1	-1	-0.164978
TTLL1	-1	-0.165029
KRT2	-1	-0.165141
OR5L2	-1	-0.165174
IL17A	-1	-0.16523
DCC	-1	-0.165232
KAAG1	-1	-0.165289
NDUFB1	-1	-0.16538
ZG16	0	-0.165779
HOXB8	-1	-0.165822
FES	-1	-0.165868
LGALS13	-1	-0.165936
FOXC2	-1	-0.165958
UGDH	-1	-0.166318
ZKSCAN8	0	-0.16638
SOX15	-1	-0.166578
ING4	-1	-0.167055
COLEC10	-1	-0.167257
ZNF225	-1	-0.167502
LRRC2	-1	-0.167756
NUBP2	-1	-0.16795
EIF2AK2	-1	-0.168194
MARCH9	-1	-0.168233
RPL10L	-1	-0.168237
BANK1	-1	-0.168847
STK31	-1	-0.168872
ZNF287	-1	-0.169125
ESR2	-1	-0.169418
NR1I2	-1	-0.169909
PHOX2B	-1	-0.169931
CEP72	-1	-0.169945
ACAA1	-1	-0.169964
ZNF669	-1	-0.170035
PLEKHA8	-1	-0.170359
ABCC9	-1	-0.170399
KDM4A	0	-0.17061
TAF13	-1	-0.170813
SLC17A3	1	-0.170974
ANKRD7	-1	-0.171029
UCN2	-1	-0.171284
CBLN2	-1	-0.171368
TM4SF5	-1	-0.171779
ASTE1	-1	-0.172258
ZNF177	-1	-0.172549
ST6GALNAC5	-1	-0.172564
DDX58	-1	-0.172793
PUS3	-1	-0.172971
ABCB11	-1	-0.17318
IFI6	-1	-0.173452
POLR3H	-1	-0.173655
ST8SIA2	-1	-0.17367
METTL2B	-1	-0.173738
METTL7A	-1	-0.17376
LTC4S	0	-0.173831
ELMOD3	-1	-0.1739
SLC16A7	-1	-0.174203
ZMAT5	-1	-0.174262
PLG	-1	-0.174946
ACAP2	-1	-0.17524
BCAT1	-1	-0.175263
VSTM4	0	-0.175309
TAF11	-1	-0.175337
HSD3B1	-1	-0.175348
B3GALT1	-1	-0.175366
ITLN2	-1	-0.175573
GAGE4	0	-0.176229
SLC22A2	-1	-0.176269
OR10A5	-1	-0.176528
FBXW10	-1	-0.176568
FSHB	-1	-0.176593
RTDR1	0	-0.176661
CRYBB3	-1	-0.17691
H2AFJ	-1	-0.176978
MX1	-1	-0.177139
REG1A	-1	-0.177139
ABCC2	-1	-0.177198
OR6Y1	-1	-0.17721
SLC26A7	-1	-0.177211
PRIM2	-1	-0.177308
GTPBP8	-1	-0.177371
GLCE	-1	-0.177632
MBD2	-1	-0.17765
KRTAP9-9	0	-0.177678
CCL15	-1	-0.177802
AS3MT	1	-0.177976
CXCL6	-1	-0.178005
SLC1A2	-1	-0.178417
MAGEA6	0	-0.178479
CREG1	-1	-0.178732
NACA2	-1	-0.178753
PRMT7	-1	-0.178754
ACMSD	-1	-0.178959
SIRPG	-1	-0.179373
CCDC114	-1	-0.179488
SAA1	-1	-0.179505
APH1A	-1	-0.179829
TMEM44	-1	-0.179858
OSR1	-1	-0.179962
DCLK2	-1	-0.179998
CREB3L4	-1	-0.180206
CDCA5	-1	-0.180276
LIN54	-1	-0.180575
FAM8A1	-1	-0.180631
CCNY	-1	-0.180965
NINL	0	-0.180979
TRAM1L1	-1	-0.181003
MRGPRD	-1	-0.18116
R3HDM2	-1	-0.181283
NSUN7	-1	-0.181306
SLC28A2	-1	-0.181516
NUP210L	-1	-0.181597
CLEC6A	-1	-0.18166
LPA	-1	-0.181741
FICD	-1	-0.181759
ABCD2	-1	-0.181839
TNIP3	-1	-0.181895
NFKBIE	-1	-0.181964
DAZ2	0	-0.182079
NPVF	-1	-0.182353
KRBA2	-1	-0.182654
TRDN	-1	-0.182876
TDO2	-1	-0.182991
ZNF517	-1	-0.18311
RNF125	-1	-0.18322
NXPH3	-1	-0.183732
NOL4	-1	-0.183747
BPI	-1	-0.183774
FGF9	-1	-0.183865
FOXI1	-1	-0.184097
MYL2	-1	-0.184139
XYLT1	-1	-0.184174
SCT	-1	-0.184255
DNM1	-1	-0.184286
PIK3CG	-1	-0.184554
CLEC10A	-1	-0.1846
HPD	-1	-0.184636
TSPAN16	-1	-0.184694
ABCG5	-1	-0.184711
HLA-DRB1	0	-0.184735
TAS2R8	-1	-0.184819
HIST1H3E	-1	-0.184878
PSEN2	-1	-0.185321
CDK5RAP1	-1	-0.185396
LEPRE1	0	-0.185404
AGBL3	1	-0.185444
ANKRD30B	-1	-0.185639
ASB15	-1	-0.185941
PLA2G4E	-1	-0.186072
TRPM6	-1	-0.186074
MT3	-1	-0.186311
ROBO4	-1	-0.186449
CREG2	-1	-0.186736
TAS2R10	-1	-0.186786
GZMM	-1	-0.186899
OR8H2	-1	-0.187062
INSL4	-1	-0.187107
C8B	-1	-0.187156
TREH	-1	-0.187372
C6orf201	-1	-0.187749
GPR63	-1	-0.187784
CCDC70	-1	-0.187818
IQCF2	-1	-0.187824
WFDC10B	-1	-0.188083
CNGB1	-1	-0.188085
MESDC2	0	-0.188086
CYP2S1	-1	-0.188206
CREBBP	-1	-0.188315
AGBL4	-1	-0.188335
GRAP2	-1	-0.188416
CCDC155	-1	-0.188442
PCDHGA11	0	-0.188599
DMWD	-1	-0.189053
FGG	-1	-0.189105
RASL10B	-1	-0.189132
STARD13	-1	-0.189148
PNRC1	-1	-0.189215
SNAP23	-1	-0.18928
GPR62	-1	-0.189378
OSBPL1A	-1	-0.189575
KRTAP1-3	-1	-0.18962
CATSPERB	-1	-0.189816
NOP56	-1	-0.189887
C16orf78	-1	-0.189897
MAL2	-1	-0.189919
GPR15	-1	-0.189975
CCDC28B	-1	-0.190027
ARMC4	-1	-0.190267
KRTAP3-3	-1	-0.190388
SCGB1D1	-1	-0.19039
GFRA3	-1	-0.190713
RDM1	-1	-0.190743
ZFP82	-1	-0.190803
ACAP1	-1	-0.190885
IL5	-1	-0.190998
TSPAN31	-1	-0.191016
MTMR11	-1	-0.191044
BFAR	-1	-0.191222
NEB	-1	-0.191262
CYP17A1	-1	-0.191298
CD33	-1	-0.191474
TKTL2	-1	-0.191477
RBM46	-1	-0.191481
TPH1	-1	-0.191541
C11orf1	-1	-0.191557
SCAF1	-1	-0.191566
ZNF461	-1	-0.191625
BCL2L10	-1	-0.191685
LMX1A	-1	-0.191735
GTF2A1	-1	-0.191776
TMOD1	-1	-0.191847
ZNF582	-1	-0.191938
ADHFE1	-1	-0.192044
SLC22A8	-1	-0.192045
IL22	-1	-0.192281
SEC22B	-1	-0.192625
FXN	-1	-0.192685
ZNF273	-1	-0.192712
GLIPR1L1	-1	-0.192761
SLC2A4	-1	-0.19278
ATP6V0A1	-1	-0.192907
LRRC66	-1	-0.193197
RP2	0	-0.193403
NAT2	-1	-0.193613
TTC25	-1	-0.193649
SLC16A10	-1	-0.193768
FBXO6	-1	-0.193876
OR9I1	-1	-0.193958
CD247	-1	-0.194171
PCDH15	-1	-0.194364
TTR	-1	-0.194431
KIR2DL1	-1	-0.194492
NCF1	0	-0.194567
DAB1	-1	-0.194586
GPR32	-1	-0.194736
OR12D3	0	-0.194806
KIF22	-1	-0.194922
LRRC46	-1	-0.194926
SIK2	-1	-0.194944
ZBTB3	-1	-0.19495
STK38	-1	-0.194999
USP35	-1	-0.19509
ANGPT1	-1	-0.195176
GRIA2	-1	-0.195215
SLC35B4	-1	-0.195299
PLXNA4	-1	-0.195315
ANO6	-1	-0.195355
IL17D	-1	-0.195368
ANKRD26	-1	-0.195841
TAS2R13	-1	-0.195961
SLITRK1	-1	-0.196731
MPO	-1	-0.196868
TMEM39B	-1	-0.197045
TSHB	-1	-0.197081
IFNE	-1	-0.197334
NKX6-1	-1	-0.197518
IL1RL1	-1	-0.197624
MSX2	-1	-0.19765
NKAPL	1	-0.197688
MSH4	-1	-0.197792
ZNF682	-1	-0.197832
RBP1	-1	-0.197945
RNF181	-1	-0.198035
IGF2	-1	-0.198243
TRPC4AP	-1	-0.19831
IGSF6	-1	-0.19839
SYCP2L	-1	-0.198457
KRT32	-1	-0.198556
PRB4	0	-0.198712
ZNF547	-1	-0.198931
DNAL1	-1	-0.19919
F8	0	-0.199436
CYS1	-1	-0.199477
AKR1A1	-1	-0.199559
DUSP26	-1	-0.199606
ACVR1C	-1	-0.199686
FOXD4	-1	-0.199699
IL7	-1	-0.200065
ERCC1	-1	-0.200258
UBXN7	-1	-0.200428
DPPA3	-1	-0.200474
GINS4	-1	-0.200544
CSPG5	-1	-0.200622
GABRA6	-1	-0.200633
DOK2	-1	-0.200682
KIAA1586	-1	-0.200708
LPL	-1	-0.2008
MPZ	-1	-0.200838
ZC3HC1	-1	-0.200993
C8orf37	-1	-0.20135
HIST2H2AB	-1	-0.201358
MYH13	-1	-0.20137
ATP2A1	-1	-0.201403
GABRR1	-1	-0.201445
KRTAP5-8	-1	-0.201668
SLC10A5	-1	-0.201805
TFPI	-1	-0.202151
LRRN4	-1	-0.202206
MBOAT1	-1	-0.202262
POP1	-1	-0.202352
H1FNT	-1	-0.202831
ADARB1	-1	-0.202863
DOK3	-1	-0.203196
OSCAR	-1	-0.203345
PKN2	-1	-0.203373
ATP6V0A4	-1	-0.203479
ZIC5	-1	-0.203507
ZCCHC3	-1	-0.203742
LOXHD1	-1	-0.203762
FFAR3	-1	-0.203773
CCDC15	-1	-0.203799
APLP1	-1	-0.203849
TARBP1	-1	-0.203897
NUMB	-1	-0.203912
LALBA	-1	-0.204236
NAALAD2	-1	-0.20427
IPMK	-1	-0.20431
TBL1Y	0	-0.204347
TMEM81	-1	-0.204653
RNF2	-1	-0.204672
ANXA9	-1	-0.204698
RDH11	-1	-0.204756
ZNF304	-1	-0.204763
CEP68	-1	-0.204794
OR6T1	-1	-0.205033
APOBEC3C	-1	-0.205045
HBZ	-1	-0.205252
HIST1H4G	-1	-0.205257
OR52B2	-1	-0.205267
FAM71D	-1	-0.205376
TMEM63B	-1	-0.205377
CCDC17	-1	-0.205482
PRND	-1	-0.205571
SPINK2	-1	-0.205714
ULBP1	-1	-0.205756
PCDHB5	0	-0.205773
ATP6V1G2	0	-0.205779
MSH5	0	-0.205842
SPTLC3	-1	-0.206071
ZBTB8A	0	-0.206252
ZNF274	-1	-0.206281
HBD	-1	-0.206323
ACADM	-1	-0.206399
ZFHX2	-1	-0.206519
DDX28	-1	-0.206574
TP53AIP1	-1	-0.206613
DEFB115	-1	-0.206717
SLCO1B1	-1	-0.206977
ANXA6	-1	-0.207118
CCNG2	-1	-0.207212
ZNF226	-1	-0.207216
SULT1A1	-1	-0.207741
CASP2	-1	-0.207974
OCEL1	-1	-0.208025
GRIK1	-1	-0.20807
ADORA2A	-1	-0.208086
NEUROG1	-1	-0.208095
EPB41L2	-1	-0.208182
LRP6	-1	-0.208449
CCL26	-1	-0.208545
CCR6	-1	-0.208622
TCP10	-1	-0.208904
APCS	-1	-0.209243
FSIP2	-1	-0.209284
ZSCAN20	-1	-0.209381
TAF7L	0	-0.209388
VILL	-1	-0.20942
OR1C1	-1	-0.209449
PMCH	-1	-0.209471
FAM184B	-1	-0.209608
RRP1	-1	-0.209616
OPN1SW	-1	-0.209637
AMIGO1	-1	-0.20973
HMBOX1	-1	-0.209755
DNMT3A	-1	-0.209777
BTBD3	-1	-0.209799
KRT71	-1	-0.209967
ST3GAL5	-1	-0.21
ICAM3	-1	-0.210131
SCARF1	-1	-0.210335
DUX3	0	-0.210497
SEPT14	-1	-0.210514
TNR	-1	-0.210579
THPO	-1	-0.210602
HYDIN	-1	-0.211097
PCDH8	-1	-0.211372
CASP14	-1	-0.211408
ACSM2B	0	-0.211533
PCDHGB4	0	-0.211633
SNRNP48	-1	-0.211867
MYO1A	-1	-0.211997
ARL15	-1	-0.212018
RNF144A	-1	-0.212166
PTPRCAP	-1	-0.212353
CASP1	-1	-0.212378
INTU	-1	-0.212382
PDIA3	-1	-0.212405
WFDC6	-1	-0.212495
INSL5	-1	-0.212541
SPIB	-1	-0.212591
MEPE	-1	-0.212671
MUM1	-1	-0.212758
CARD11	-1	-0.212791
WNT10B	-1	-0.212845
WIF1	-1	-0.213005
GPR52	-1	-0.213077
ZNF383	-1	-0.213119
GBX2	-1	-0.213315
NFATC2	-1	-0.213482
ASAH2	-1	-0.213525
C12orf50	-1	-0.213732
TMSB15A	0	-0.213832
SH3BGR	-1	-0.21391
WNT8B	-1	-0.214056
RNASE13	-1	-0.214075
HRC	-1	-0.214101
NRDE2	0	-0.214123
SLC44A1	-1	-0.214331
LGALS4	-1	-0.214346
STON2	-1	-0.214726
SCRN1	-1	-0.214759
MYLK3	-1	-0.214799
C14orf166B	0	-0.214838
C7orf57	-1	-0.21494
SKAP1	-1	-0.21501
ARSB	-1	-0.21508
ZNF253	-1	-0.215383
CYBA	-1	-0.215409
NEFL	-1	-0.215483
NKX2-4	-1	-0.215596
RAD21L1	-1	-0.215614
SBNO1	-1	-0.215703
ZSCAN12	1	-0.215717
NFE2	-1	-0.216204
FRAT2	-1	-0.216226
STX6	-1	-0.216259
ZNF2	-1	-0.216269
COL10A1	-1	-0.216372
F7	-1	-0.216595
BCMO1	0	-0.216632
DAAM1	-1	-0.216653
C17orf66	0	-0.216679
ASPDH	-1	-0.216713
RANBP3L	-1	-0.216815
ZNF677	-1	-0.216828
