Gene,Chr,Gene Start,Gene End,Gene Score,Gene ReScore
FAM153A,5,177082970,177140283,450029.51019,450102.7042029601
SFTPA1,10,81040721,81045208,402413.007685,401288.36485954386
SLC5A3,21,34389367,34391524,397615.0233054999,397619.9649442286
POM121,7,72033595,72051997,395441.866521,395491.8197508405
PRAMEF1,1,12774132,12778810,389511.88608799997,388527.3207579913
KRTAP9-4,17,36659464,36660431,375046.72640933335,375245.91597504675
DNAJC2,7,102762924,102772556,374197.25953133334,374396.44909704686
LAMP1,13,112999469,113025742,373503.57001100003,373469.8059878413
KIR2DL1,19,59973076,59987590,357511.54164699995,356835.098130117
MEX3D,19,1505667,1519057,353271.7246629999,353267.02898878045
OR2T3,1,246703274,246704231,351292.141083,351503.80809434014
PAK1IP1,6,10803173,10817956,326921.963732,326960.31431528553
FRG2,4,191182516,191185406,321639.10666550003,321626.9126312882
KCNJ8,12,21809155,21819014,316648.175532,316643.6411282281
PRPF39,14,44648684,44654549,312242.975616,311105.5477694181
FOXD4,9,106233,108417,308514.34224,308626.598799752
SULT1A1,16,28524416,28542367,303281.6012135,301182.0307098873
PSG2,19,48260236,48278654,297829.60251199995,297645.5525564666
GSTK1,7,142670685,142676326,297027.745872,297092.0784704575
NDUFB4,3,121797817,121803865,292111.362348,292051.1139994496
KIR2DL3,19,59945237,59978722,291334.563728,291357.0097751423
NSUN5,7,72355161,72360759,284773.53882466664,284823.6103766389
LRRC37A3,17,60286021,60319180,280117.341075,279868.26835342287
C6orf52,6,10779641,10802824,326921.963732,277883.66917219997
DDX11,12,31146627,31148992,277462.8614896667,277508.17384332384
NPB,17,77453445,77453916,277622.815184,276495.5160898416
HIST2H2AB,1,148125642,148126090,256762.43116766665,256803.8969213756
KRTAP2-2,17,36464278,36464707,248086.92700999998,248034.25016700666
GSTM1,1,110031964,110037890,247443.5623465,247577.97887107884
DRD5,4,9392355,9394731,291207.3942765,247526.28513502498
RIMBP3C,22,20229957,20235750,248415.187072,247523.35812747956
MAFG,17,77469437,77478879,234600.70064599998,234602.3999796649
PTAFR,1,28349090,28350119,234153.41498899998,234294.73018917989
COX7B2,4,46431720,46431966,214790.4564845,214872.09518764427
SLITRK5,13,87125644,87128521,210803.51668566666,210837.93943070137
SUPT6H,17,24039814,24042994,204776.33201675,204829.0678144851
ARHGDIA,17,77420153,77422527,202045.32106199997,201960.54264729487
C17orf58,17,63419496,63419724,199754.18276666666,199797.5659256011
ZHX1,8,124334745,124337367,193225.73328933332,193348.6351289962
ANKS1A,6,35048356,35057741,193293.80757700003,192748.56054463336
CRIP2,14,105016347,105017545,188599.8139805,188394.5754425461
FBRS,16,30583278,30589632,185357.93264300004,185336.81070480985
SAP30,4,174528667,174535258,186151.43660966668,185026.87311530486
KLHL28,14,44482683,44484888,185526.4478275,184870.8099963508
HEATR5A,14,30939228,30959488,183749.20775899998,183923.21487548473
ID1,20,29656752,29657974,180636.37522449996,180774.23950039892
MTO1,6,74246379,74247249,177903.58932666667,177980.9861066481
RNASE3,14,20429685,20430168,177503.496274,177532.106217106
KIR2DS4,19,60040842,60059179,173615.744471,173648.48519352562
GRB7,17,35152030,35157064,203894.91616325,173310.67873876248
PYGO2,1,153196125,153200882,170657.64521,170715.37807823758
INTS5,11,62170895,62177350,166311.95809149998,166284.54594261607
CDKN2AIPNL,5,133774151,133775478,187131.62282533335,159061.87940153334
IMPDH2,3,49041135,49042143,158254.34294366668,157610.09802613943
BCL2L1,20,29773118,29775390,153737.9689456,153777.0202693798
FUT9,6,96757752,96758832,152805.89412833334,151010.42544393436
EVX2,2,176653080,176656936,150759.38475325,150812.03866397307
HEATR3,16,48697252,48697796,150775.98569149998,150758.75165517532
PDCD1,2,242440705,242449731,150248.6396606,148720.9773367308
THAP1,8,42810973,42817631,148346.92387774997,148361.65969167158
HIST2H2AA4,1,148089251,148089785,147522.57766480002,147539.39481833272
MRPS5,2,95116678,95151481,146622.93210175,145061.75115802677
GP9,3,130263272,130263806,145724.91531,144806.70526713302
TMPRSS11E,4,68995761,69045917,144134.983941,144125.51376579428
STEAP1,7,89621624,89632077,169062.9528172,143703.50989462002
CLIC3,9,139008880,139010845,143177.767577,143214.50293056833
PIP,7,142539295,142546956,142629.93661475,142742.21741661418
KRTAP5-11,11,70970548,70971569,142250.97880871428,141800.26736731234
HIST2H2AA3,1,148080408,148080942,147522.57766480002,141667.01516349072
HIST2H3A,1,148090804,148091311,147522.57766480002,141232.20438373715
ST6GALNAC5,1,77302248,77303980,140377.74265883333,140418.67849549642
GALR3,22,36549334,36551448,139996.651938,140055.64246135543
PRAMEF2,1,12839527,12844351,137391.87075899998,137449.60362723746
HNRNPCL1,1,12829847,12831165,137391.87075899998,136881.9518312302
VWA1,1,1364328,1365030,136542.71710625,136003.7522963583
OR8K5,11,55683445,55684369,135955.4197625,135928.45382001036
HOOK2,19,12745134,12747434,135559.81627175,135557.42820928287
PDLIM7,5,176849377,176857208,135498.3197143333,135413.631377632
HOXB13,17,44157124,44161110,135203.26152883333,135243.3620853554
GPR22,7,106901741,106903043,136576.85865850002,135122.86522042632
TSPAN31,12,56425050,56428293,134078.5740645,134126.8855908079
OSTC,4,109791189,109808429,135047.9435682,133414.69484832243
DGAT1,8,145510761,145521375,133627.73852133332,133047.8331202515
RGL3,19,11388138,11391004,133175.858894,132823.3609583004
C1QTNF4,11,47567948,47568938,131350.13155679998,131358.62020154044
HRH2,5,175042842,175043922,130678.82720100002,130697.08933761265
ERLIN2,8,37713356,37723229,130187.690009,128948.0987184834
CSPG5,3,47578732,47581854,128744.34805700001,128770.44725729927
HYDIN,16,69722789,69744187,128322.12041999999,127632.80927947843
GPR62,3,51964369,51966560,127453.1082864,126999.57902865548
COX6A2,16,31346555,31347222,126829.915329,126720.15213171358
KIR2DL4,19,60009217,60017784,124962.46638849999,124887.15028843904
ZNF358,19,7490128,7491835,145045.3418076,123288.54053645999
SLC22A11,11,64086051,64090747,122771.1425395,122798.62623827306
LARP6,15,68930821,68933552,121748.148873,121947.33843871344
MMP23B,1,1558429,1559893,120239.656069,120357.70875576665
MIB2,1,1554348,1555848,120239.656069,120319.9859677653
GUF1,4,44391185,44397454,120929.5033596,119885.88916185513
AGAP5,10,75104061,75160269,121141.11833850002,119884.60983690573
ZNF384,12,6652642,6657887,118964.95459160002,119115.34835114228
HIPK3,11,33306631,33316965,118900.51371683333,118931.34647791563
CFHR3,1,195010552,195029496,118517.7942247,117922.34038255889
KRTAP9-2,17,36636425,36637430,117244.5962285,116826.30722144459
PCBP4,3,51966550,51971144,115115.0403988,115018.7721748966
OSR2,8,100025861,100033508,113139.15287675,112135.50069615211
IFNA6,9,21340316,21340886,112122.61165040001,112098.27542911151
HAVCR2,5,156465738,156468716,131691.48443425001,111937.7617691125
ANKRD18B,9,33538401,33545775,111399.81306349998,111147.27404076043
HSD3B1,1,119851463,119859204,111673.571932,110619.95631698504
DHPS,19,12647533,12653677,130118.36282033335,110600.60839728334
TUFM,16,28761232,28765230,118061.64429312499,110529.4294598791
OPLAH,8,145184299,145185582,110286.81934183334,110300.88231609637
DFFA,1,10443189,10455200,109464.550856375,109135.611287386
ACY1,3,51992602,51998258,109554.49870733333,108846.03917202874
TGFBR1,9,100930957,100934734,108417.282233,108292.53364276899
CORO1A,16,30107505,30108076,108308.7810064,107821.38190112957
OR7C2,19,14913300,14914260,108596.86470966668,107705.48800761098
CFHR4,1,195123834,195154386,107845.959377,107411.95032039212
OR52A1,11,5129236,5130175,107933.24481333334,106943.02849934503
C8orf44,8,67751007,67755789,107412.455631,106758.1986365134
PYY,17,39385634,39386869,106637.62585542856,106703.5725401511
CRIPAK,4,1375339,1379782,106128.73326639998,106194.6199084528
STXBP2,19,7615398,7618758,106119.14857374999,106177.92647101478
CFHR1,1,195055483,195067942,107681.07760539999,105978.21233631024
ZNF789,7,98919181,98923153,105790.5752865,105719.1333346589
GHDC,17,37597784,37600022,105734.50796675,105070.92838281892
TSN,2,122229590,122241898,103298.34638066667,102722.07931624325
KIAA1109,4,123479811,123485212,102946.28119966666,102662.08831014973
RNF170,8,42835650,42870939,120684.93708440001,102582.19652174
CCDC144NL,17,20707299,20740045,101815.1204135,101744.42036697792
RABEP2,16,28829124,28844033,101606.82562224999,101656.03044989589
OR4C6,11,55189218,55190148,101744.8326674,100714.35816490932
PDE4A,19,10430644,10441307,100385.97800616665,100345.19854743076
PRSS2,7,142178777,142182363,99219.1095415,99263.9929920126
UTP3,4,71773097,71775132,98633.58714083332,98696.66599991129
P4HB,17,77394322,77411833,101022.66053099999,97810.39715878312
SNRPC,6,34833289,34849549,99269.852032,97434.65485004321
OR13C9,9,106419349,106420306,97038.99219588889,97075.72754945722
GPR148,2,131203192,131204379,97123.63261900001,96634.18005359222
PTPRN2,7,158024668,158028617,96450.3236216,96411.29221031185
CHRNA7,15,30236775,30237603,96808.6533076,95161.16584179773
HESX1,3,57206983,57209320,95562.26739279999,94862.78087369323
AKR1A1,1,45806240,45808308,94667.94665900001,94714.34455620107
CCDC74B,2,130613331,130619101,94922.28556199999,94646.07728361285
TMEM121,14,105066216,105067176,94605.12262314286,94627.15556022715
CXCL3,4,75121175,75123354,94763.48036025,94103.10655120263
KRT16,17,37019556,37022605,93831.47862887502,93694.51271814712
BASP1,5,17328325,17329009,93633.40840471428,93560.49018809052
PGA5,11,60765244,60775491,93457.95751825,93083.7282764014
ETV3,1,155369599,155374801,95124.785686125,92421.89096008032
LENEP,1,153232707,153232893,92252.1029508,92063.26849262067
MAT2A,2,85621716,85623179,91809.87066116667,91984.98048315156
SH2B1,16,28782814,28793027,91428.51417345455,91475.39608706617
NDUFB8,10,102273486,102279626,90170.17128022222,90217.92897575437
ABCG4,11,118529937,118530063,106125.01036057142,90206.25880648571
PARK7,1,7965605,7967928,104975.56318599998,89229.22870809998
PSMC2,7,102775324,102795892,88797.38953057144,88916.8036894351
TNRC6A,16,24740611,24745048,88523.876767625,88564.1310134938
RUSC1,1,153561981,153567533,89443.349489,88314.24644930653
PIP5KL1,9,129723628,129729591,89906.4216986,87954.67938686362
DAZAP2,12,49918892,49923834,87694.14308037501,87789.20858491099
KRTAP17-1,17,36724694,36725473,87561.7427672,87583.68376793465
NOB1,16,68333274,68346330,87049.05567799999,87266.32730718215
PWWP2A,5,159450924,159453516,87686.03054640001,87256.53906624441
SMARCE1,17,36050352,36057629,86975.88625960001,87012.62161316833
LCK,1,32512512,32524353,88138.76632275,86794.00264782802
TNFSF13B,13,107753154,107753714,87700.3136178,86728.52921811077
DMRTA2,1,50655813,50661729,87932.85204340001,86555.06814462463
DIRAS3,1,68284878,68285568,86905.755126125,86043.66186507128
OR2T2,1,246682721,246683696,87637.79385789999,85630.36364368445
ADRM1,20,60313756,60315185,85262.23986614286,85331.39726737318
LRRC61,7,149664883,149665663,85194.0104574,85240.40835460105
MXRA8,1,1277934,1283778,99751.32398771429,84788.62538955714
PARP10,8,145130699,145132623,84726.71418157143,84781.30794903183
COX18,4,74139279,74154336,84298.68740279999,84339.62323946308
IFNA16,9,21206371,21207310,83847.3924626,83871.3928346727
IFI6,1,27865158,27871311,84503.9125866,83457.76323867381
CXCL2,4,75181617,75183861,98169.49172875,83444.0679694375
ZNF829,19,42088194,42099030,83121.8374935,83137.100546659
CST4,20,23614276,23617662,83066.083399,83023.45639130959
SHC1,1,153201398,153207714,82946.5566436,82983.67483085502
MBOAT4,8,30108728,30121742,83818.76367475,82833.46612962412
KRTAP19-1,21,30774234,30774507,82904.14594475,82805.17974343081
TDRD7,9,99270497,99285454,82658.42073612502,82672.48371038806
FBXL6,8,145549898,145553844,82649.09516618181,82655.12660072668
DNAJC12,10,69240971,69267943,82546.28609662499,82556.00323798144
MCRS1,12,48243043,48248178,84600.1910678889,82301.63127736823
COMP,19,18754582,18763114,82883.159853,82117.90138153959
UQCRH,1,46541966,46555034,83167.21040828571,81527.56674575282
ABHD14A,3,51984123,51990252,82165.8740305,81302.8869053356
KIAA1107,1,92407068,92422868,80253.52947083334,80365.50486106733
NDUFB5,3,180805268,180824982,81117.822344,80083.28814993962
KRTAP19-7,21,30855287,30855479,79990.52466925001,79834.35364886773
FFAR3,19,40541632,40542673,79701.3481578889,79758.12307792636
FOXH1,8,145670316,145672526,79439.14382083334,79497.49050092774
PRB1,12,11435740,11439768,79761.34819466666,79195.3797725106
CEBPD,8,48812028,48813279,79530.39677699999,79092.09616465846
PCYT2,17,77455383,77462586,78200.23354866666,78005.97496664156
KIF13A,6,18058623,18095778,77538.1702869091,77574.93833866647
RARRES2,7,149666636,149669682,77449.10041581817,77495.49831301926
BBS7,4,123001565,123003884,79107.33387266667,77273.7213753426
MYO5A,15,50417298,50430970,76787.48326275001,76951.23009252884
GORASP2,2,171519226,171531886,76965.98685244445,76795.38104772384
RSC1A1,1,15858950,15860804,76734.078357625,76253.59192250519
DNM2,19,10794899,10805160,77979.8064994,75998.13993303757
LYPD3,19,48657157,48661671,76149.89089314287,75785.96093485286
ZNF562,19,9620352,9646734,75684.34867871429,75751.84341848425
LILRA5,19,59514246,59516221,75423.387299,75460.50548625505
IMP4,2,130816958,130820667,76250.5525392,75131.19435098437
ITGA5,12,53085216,53099317,75903.45719883333,74785.35218880059
SEC61G,7,54787433,54794433,74893.09695075,74746.51246264341
ZCCHC10,5,132382646,132390139,74547.98537029998,74613.93205502252
MGP,12,14926093,14930095,74324.123284125,74571.08649589853
NANOS3,19,13848949,13852571,74283.01958881818,74302.53204446781
DDX19B,16,68890572,68925232,74131.489755375,74190.0042685824
GNPNAT1,14,52311660,52328133,74125.25657289999,74154.03084454745
OR8I2,11,55617359,55618292,74348.18942416667,74133.87008368623
OR10AG1,11,55491609,55492515,73946.9687606,73905.00871298158
KTN1,14,55208255,55210775,74975.20671271428,73626.99015198088
IFNA21,9,21155635,21156659,73700.89900420001,73617.92424366955
NEUROD2,17,35015229,35016378,74088.4212835,73128.20841803588
RELA,11,65179734,65183835,72561.1349645,72557.68178812611
CIB3,19,16133178,16145286,72273.594185,72397.0811042658
SLC35E3,12,67426202,67446120,72607.20755127273,72236.4612931123
S100A11,1,150271605,150276135,84963.6019635,72219.061668975
CENPH,5,68521130,68541940,72178.65213144445,72179.47040520418
CLN3,16,28407412,28410634,73643.6414285,71825.52885771776
COL6A1,21,46246830,46249391,73131.48966972728,71541.84547221278
ADRB1,10,115793795,115796657,73522.73648200001,71486.83557293609
CCDC115,2,130812285,130816392,71647.56131866666,71361.12557805674
OR52B4,11,4345156,4346101,71572.24804744445,71175.87832358538
LCN2,9,129951552,129955555,70812.50280216667,70881.69643415138
ANKRD36B,2,97534183,97572761,72483.4551025,70859.27341164747
CDH24,14,22591402,22596570,70752.15473733332,70838.15485888302
BBC3,19,52415918,52427863,71214.89284,70569.58103841101
EBI3,19,4180539,4188524,71121.67700560001,70516.50357588551
HEMGN,9,99728893,99746955,70451.07883036364,70483.3135201857
ALKBH7,19,6323443,6326040,70198.9154191,70375.11500969077
NKX6-1,4,85633459,85638411,70427.79258955557,70240.45790588576
SEC22B,1,143807763,143828279,70490.40283674998,69891.1975136223
TIGD7,16,3290120,3295440,69860.25627879999,69880.67289054739
SIX6,14,60045690,60048278,70053.87124666666,69863.36192071889
ZNF526,19,47420395,47422408,70018.68561025,69842.5409163364
IFNA17,9,21217241,21218221,71410.345396,69820.60033275656
KCNE2,21,34664647,34665019,70418.46543766667,69700.37978780709
ALG10B,12,36996835,37009795,70092.57196644443,69406.46571855887
PYCARD,16,31120307,31121752,70539.32862079999,69256.00230769056
CCNG1,5,162797154,162807777,70194.75300355555,69221.81744326689
RUFY2,10,69823526,69837057,70584.4330568,69161.19604531399
ASIP,20,32311831,32320809,69029.20704549999,69057.0091491354
CEBPB,20,48240782,48242619,69998.50495485714,68980.14131784518
IL6ST,5,55295730,55307878,68763.929353,68837.12336596019
AFF3,2,99989042,99990845,68570.018829,68650.24799113563
P2RY6,11,72685211,72686198,70136.32406485714,68613.80863204155
DEFA1,8,6822580,6825024,70141.4072632,68585.65279237463
CD177,19,48549664,48559320,70622.68830066668,67968.23874270997
KBTBD6,13,40599736,40604922,68462.44832885715,67888.17908772187
BET1,7,93458935,93471626,68395.97949009092,67884.4214636702
NOP2,12,6543038,6547741,67878.417477,67664.58503409672
MAFK,7,1543648,1548848,67615.08046681818,67625.57203766944
DIRC1,2,189307577,189307892,68150.04641380001,67513.27881249275
BMP2K,4,80012505,80019618,67469.79276514286,67422.83589975299
DHX32,10,127530851,127538534,67792.38494166666,67389.79071367688
TOMM22,22,37407899,37410711,67263.12918590909,67240.4517520182
TARBP2,12,52181643,52186482,67318.9971805,66986.78119418232
ZNF302,19,39860577,39869142,68621.01189970001,66878.13749220523
EPOR,19,11349474,11356019,68528.0466455,66827.40646039629
ARL4D,17,38832626,38833232,66808.02238933333,66767.24293059741
TNNC1,3,52460157,52463098,66844.54635181818,66645.50428434178
NPFF,12,52186740,52187689,67318.9971805,66588.7450346597
UBB,17,16225946,16226636,68136.72389983333,66473.9930301238
DNAJC14,12,54507302,54509470,66157.1820832,66397.25623492482
GRINA,8,145137158,145139571,66334.00817766666,66357.85306691853
CLPP,19,6317250,6319915,77998.7949101111,66298.97567359444
ZNF786,7,148397665,148418802,68543.25230763637,66224.94107325749
RNF146,6,127649454,127650531,66130.777194625,66166.38377702211
RRN3,16,15077797,15095659,65766.77813159999,65835.99456997555
FGFBP3,10,93657929,93658706,66093.6600025,65815.50448826217
KRTAP21-1,21,31049327,31049567,65737.96140860001,65812.17876196947
AQP7,9,33374950,33392517,67339.25241333334,65807.84726271291
DPY19L4,8,95816033,95826487,65742.22127200001,65752.31453711179
SF3B4,1,148164061,148166586,65565.42301977778,65597.93582559972
NUDT2,9,34319503,34333696,77080.63362172728,65518.538578468186
GABRD,1,1940627,1952052,65464.494883666666,65504.50453504897
PURG,8,31007898,31009859,65615.9288512,65248.14798592627
CNGA4,11,6216905,6222283,76581.8195636,65094.54662906
LIMS1,2,108668409,108670129,66506.490882,65040.26020105987
ZNF263,16,3280212,3291401,64986.72196899999,65003.61576124618
AHCY,20,32344932,32354784,65493.363810874995,64695.64304774713
POMGNT1,1,46433745,46436366,64470.02559659999,64576.69167338593
CCDC59,12,81270219,81276330,64298.18326388888,64327.39585037705
OR2M4,1,246468853,246469789,64097.440681444445,64243.94031416651
TRIM50,7,72364470,72380021,66480.8760171111,64156.3701792363
VAX1,10,118882790,118887802,64213.682052,64131.72538870898
TREX1,3,48482232,48484048,65206.87457328571,63987.0108471623
BMI1,10,22650145,22660192,63398.043501,63394.74755590632
KRT14,17,36992058,36996673,63778.455567125005,62900.83163434067
TLN1,9,35713115,35722128,62777.73221590001,62827.041395432585
CCR2,3,46370238,46377429,63417.776691750005,62817.42310568135
NDUFAF3,3,49034077,49035930,65199.89412485714,62734.57279733824
SPAG9,17,46463292,46479238,73629.73422740001,62585.274093290005
TGIF2,20,34635423,34655766,61756.4926108,61893.51049048484
BTF3L4,1,52298083,52326650,61706.8777312,61820.65339527033
STX11,6,144549457,144550321,62019.01713366667,61754.17068106948
RBP7,1,9979860,9998665,61702.2419975,61699.11910612073
C7orf61,7,99892173,99899830,61387.85333942857,61475.58860164899
FPR2,19,56963723,56964779,61406.40074887499,60899.526724361865
TPM4,19,16071476,16074151,61221.503883800004,60877.57713506324
MRPL15,8,55210333,55223627,60681.754132999995,60699.44478404709
LHX5,12,112385076,112394260,60193.95801033333,60228.2199322579
NPBWR1,8,54015020,54016007,62893.54203166667,60148.3161789819
HBS1L,6,135398687,135417715,60073.01130046666,60146.20531342687
CCT4,2,61948765,61969295,60927.18351777779,59597.97161360692
ZNF213,16,3125166,3132268,61397.616204363636,59562.76860821809
IFNA7,9,21191467,21192204,59601.753470999996,59450.67993655047
SEPT5,22,18089950,18092297,59263.05256733333,59317.41782176564
APOC1,19,50111273,50114446,59958.62143916666,58949.01902327424
IFNA4,9,21176692,21177670,69239.63746345454,58853.69184393635
CCNB1,5,68498668,68509826,69135.95421069999,58765.56107909499
USHBP1,19,17230294,17236544,60052.797831,58726.7989302735
OR5K4,3,99555387,99556353,59307.948186500005,58472.79665027102
RPS6KB1,17,55377539,55382568,58384.4348594,58416.21733262691
ZNF468,19,58035789,58037199,58823.49313316666,58389.57534059746
ADAM17,2,9585081,9613368,58467.991966090915,58151.72923408255
MRPL55,1,226361002,226363636,59544.7464755,58073.49487570501
CD248,11,65838533,65841091,57838.420603599996,57885.69371732658
OR6B1,7,143332022,143332958,57784.363620454555,57784.70099038058
OTUB1,11,63510889,63522468,57977.523937125,57729.646983362305
MAFF,22,36939487,36942460,57429.5990073,57450.279980093146
OR4C11,11,55127492,55128425,58537.205254666675,57341.439243603694
APC,5,112190703,112193534,57493.67793288889,57289.413213922795
HTR1F,3,88122589,88123690,58053.72467988889,57272.72692801355
ADAM29,4,176133251,176135714,57244.86770414285,57198.02425420479
SIRT4,12,119224545,119235428,57077.727456454544,57130.38136717758
ITGA2B,17,39806817,39813955,58781.93858333333,57113.029576376415
FERD3L,7,19150929,19151569,58633.8874485,57058.553220255664
FAP,2,162774375,162808291,56969.890354999996,56984.51542629635
JOSD1,22,37411571,37426215,56987.33459200001,56979.54466881995
ZNF451,6,57072977,57077360,57344.025869,56943.71113722674
ABHD11,7,72790059,72791120,57780.035417,56920.368669563446
PSMG3,7,1573494,1576155,57104.30414433333,56877.75467201748
OLIG2,21,33321040,33322012,56956.2530095,56870.07567945269
ZNF514,2,95177126,95188990,58330.05895600001,56854.353147624795
HOXC4,12,52733927,52736081,56609.256382545456,56658.4612101914
GUSB,7,65078273,65084681,57520.89372683334,56644.785154749574
CTSD,11,1730560,1741798,60413.275347285715,56525.091532750885
HHATL,3,42709158,42719130,56570.504067,56487.52930646953
HRH3,20,60223830,60228707,56489.296806800005,56428.16522029954
FBXL8,16,65751391,65755578,56403.7236685,56328.78732995798
SATB2,2,199920495,199922141,57099.71017400001,56111.32312931499
POU3F3,2,104838400,104839903,56154.18755266666,56073.26375208436
C7orf43,7,99589978,99594274,56427.9046578,55711.029094054524
IFNA14,9,21229200,21229978,62484.0522215,55642.75662326461
TMEM139,7,142692562,142695263,56455.092609499996,55590.798003449694
NFATC2IP,16,28874791,28885268,65344.63402133334,55542.93891813334
FAM84B,8,127637883,127638816,55633.60718716667,55537.42386303083
HSF4,16,65755844,65761349,56403.7236685,55458.323353537555
GJB6,13,19694833,19695619,56844.494240299995,55434.24064330332
LYPLA2,1,23990232,23994616,55172.53961916667,55271.45147934863
ABCD4,14,73828742,73839512,55183.7739648,55168.9673765519
PRKRA,2,179004517,179006503,55840.544669,55046.09059499754
RPS6KA4,11,63883200,63896263,56852.36663491666,54917.30608990223
CLCNKB,1,16247870,16256390,54952.953803428565,54908.60504563228
HNRNPA3,2,177789649,177796824,54814.001116333326,54847.68279550821
ABHD14B,3,51977570,51992465,54777.249353666666,54786.63391779192
GRN,17,39783335,39785937,54742.30733688889,54777.91617237743
PRR13,12,52121803,52126694,55971.34753340001,54696.721547899986
ZNF230,19,49198916,49209912,54671.90126125,54664.77220159107
TIMM8B,11,111461079,111462669,54458.594866000014,54487.41017114537
PPFIA1,11,69895080,69908150,56161.757162875,54385.19418578426
ITGB1BP1,2,9464240,9480830,54223.916871,54280.9751897778
CCL21,9,34699001,34700147,63693.44971455556,54139.432257372224
UTS2R,17,77925489,77926659,63653.63530499999,54105.59000924999
KIAA0100,17,23990719,23996300,54073.64103374999,53814.236321811775
PRB3,12,11310123,11313908,55189.819212124996,53576.69106328377
DHRS4L2,14,23534080,23545459,53591.587373999995,53551.859690116726
WWP2,16,68516401,68533144,60909.86564173333,53539.71665899732
MKNK2,19,1988471,1993675,54244.48800622222,53449.31029826637
ADCK5,8,145587902,145589261,53602.306638111106,53247.6482139395
NRARP,9,139314754,139316524,62636.41890422223,53240.956068588894
ADD3,10,111872767,111885313,53005.02088916666,53166.385575270695
ARL1,12,100312592,100325703,54334.9335373,53161.955249372164
SLC2A3,12,7973366,7980138,53663.53968857142,53152.33333065004
CRIP1,14,105024301,105026169,54387.8059595,53105.122193614625
C17orf75,17,27682501,27693302,53195.25302433333,53019.34386159085
SLC16A6,17,63775932,63799000,52938.157739133334,52950.41411301274
ALDOC,17,23924259,23928078,54508.4603258,52855.12157344591
C20orf173,20,33578212,33580895,53845.92627699999,52834.3137188134
OR13C2,9,106406772,106407729,52795.682013749996,52804.756402679544
TMSB10,2,84986273,84987310,53446.0002778,52742.29738770861
DEGS1,1,222437550,222447765,54091.996033400006,52470.958639433265
KBTBD4,11,47550325,47557101,52844.54515275,52460.87336840095
NDUFS3,11,47557207,47562690,52844.54515275,52457.68930324298
KCNJ2,17,65682775,65684059,53827.602599875,52450.74841859644
OR4D5,11,123315533,123316490,52457.711968999996,52358.40514843291
TMEM190,19,60580015,60581424,52690.281717125,52353.2703490819
UCHL1,4,40957412,40965203,52327.6608452,52327.24617619586
FIGNL1,7,50480454,50482479,52582.3756185,52069.36977504891
HOXC11,12,52653176,52656470,51780.07151385713,51816.24477341125
DDX28,16,66612674,66615460,53872.425133150005,51814.37822278042
FOXM1,12,2837109,2856564,52493.178705,51713.442931625235
DVL1,1,1260526,1267367,52125.693203999996,51664.57052566976
PHACTR4,1,28690748,28699461,51072.6299135,51103.462674582326
CTNNB1,3,41252166,41253962,51129.08006411111,50938.442418211554
CEACAM3,19,46992373,47007431,50893.7335492857,50874.989170133034
ADSL,22,39084813,39089021,51253.25647433333,50818.06717665459
TAS1R3,1,1256588,1259707,52125.693203999996,50804.77812908501
ARF6,14,49430204,49430732,52051.615432375,50752.63394465053
ARRB2,17,4567245,4571544,51891.400717,50654.36110021736
ITGAD,16,31316417,31328139,50538.392927099994,50539.92135551751
MFAP3L,4,171149103,171150024,50565.831459,50381.271053148754
ARID1B,6,157511449,157549436,50894.2168111,50372.958325713786
