Gene,Chr,Gene Start,Gene End,Gene Score,nSNPs,TopSNP P-Value,Gene ReScore,Gene ReScorePR
PBX1,1,162795560,163082934,14.190366421300197,206,0.000141602,0.0033751314982799915,0.0033751314982799915
LDLRAD3,11,35922187,36209417,11.125610584939915,247,0.00363836,0.003368769527640218,0.003368769527640218
ETV6,12,11913624,12159528,10.985827109549417,205,0.00347272,0.00336545711855768,0.00336545711855768
ADAMTS2,5,178510735,178704935,13.599598184250343,157,0.000194836,0.0033642368041465975,0.0033642368041465975
SH3BP2,4,2797849,2812621,7.6647786815296435,18,0.00844309,0.0033228728248714456,0.0033228728248714456
KIF1A,2,241311502,241408297,7.277720302428782,53,0.036610199999999996,0.003268333584124443,0.003268333584124443
CACNG3,16,24174376,24281238,8.57103642343706,93,0.017625,0.003254424349752341,0.003254424349752341
ST5,11,8708072,8849493,7.415999792237218,75,0.0451163,0.0032462493902804495,0.0032462493902804495
CHRNA2,8,27373194,27392730,10.0805032105399,48,0.00201064,0.0032168977264944473,0.0032168977264944473
BMP6,6,7672009,7826960,9.892434576637047,133,0.00672391,0.0032105559356130145,0.0032105559356130145
RNPEP,1,200219197,200241898,6.82877775379871,30,0.0324654,0.0032033267641627177,0.0032033267641627177
CLP1,11,57181205,57185913,12.672384810905989,7,2.19559e-05,0.003191090099138158,0.003191090099138158
EVC,4,5763824,5881673,10.684862000496098,144,0.00329599,0.0031578880054928256,0.0031578880054928256
ZNF521,18,20895888,21186114,7.762004935378657,124,0.052774699999999994,0.0031511275417752584,0.0031511275417752584
FHL3,1,38235995,38243764,6.074063853429883,16,0.0368288,0.003150805890727996,0.003150805890727996
RAPGEF4,2,173501178,173561813,8.510436072253077,50,0.0100678,0.003142859005711402,0.003142859005711402
ITPR1,3,4811683,4864286,7.331652144113829,58,0.0379605,0.0031145871161228317,0.0031145871161228317
FPGS,9,129605328,129616377,7.231607484247248,14,0.010126999999999999,0.0031126670743115243,0.0031126670743115243
SRC,20,35407970,35467235,6.444432398467643,28,0.0445017,0.0031018499549457204,0.0031018499549457204
COPS2,15,47206833,47235073,6.333492990899905,15,0.0266373,0.0030941177332833246,0.0030941177332833246
ARHGDIB,12,14986216,15005829,7.035083727482052,36,0.031695999999999995,0.0030932930617057065,0.0030932930617057065
ELL,19,18414472,18493918,11.404348564926774,32,0.000356701,0.003085368407692497,0.003085368407692497
ACAN,15,87200759,87219589,8.494659341255787,29,0.00593218,0.0030810061879195812,0.0030810061879195812
SLC12A6,15,32309488,32417557,9.821996663214781,60,0.00325471,0.0030759087207912457,0.0030759087207912457
EIF4A2,3,187984054,187990379,8.584483940906516,15,0.00280477,0.003074900747644496,0.003074900747644496
SHB,9,37905894,38059210,8.416609857817603,76,0.0168084,0.0030709372783428546,0.0030709372783428546
DGKB,7,14182130,14847413,12.576674133253634,395,0.00136338,0.0030703910909437885,0.0030703910909437885
LCN1,9,137553106,137558199,5.758594232284156,9,0.028399900000000002,0.0030561238202743836,0.0030561238202743836
CACNA1E,1,179968142,180037338,9.66528936843132,61,0.00387033,0.0030527500072905518,0.0030527500072905518
ASB1,2,239000364,239025630,7.518139195585046,26,0.014121700000000001,0.003048359180147785,0.003048359180147785
INPP1,2,190916440,190944636,6.799074475135244,31,0.034559,0.0030408187451159314,0.0030408187451159314
RBX1,22,39677330,39698614,8.88070471692008,7,0.000973323,0.003034282892604429,0.003034282892604429
CACNA1A,19,13178256,13478274,13.631549720525328,160,0.000192315,0.003031407351750741,0.003031407351750741
KALRN,3,125786218,125922726,11.518434281562024,158,0.00157132,0.0030064105643279014,0.0030064105643279014
GRIN3B,19,951436,960723,13.464166464460346,21,2.9840500000000003e-05,0.002999596081609937,0.002999596081609937
SETD7,4,140673184,140697027,10.176002687011039,21,0.000799535,0.0029981450738547177,0.0029981450738547177
EEA1,12,91690415,91847238,8.041953295375256,50,0.016084,0.0029952148948684605,0.0029952148948684605
HIST1H2AG,6,27208799,27211050,15.780941828487705,11,1.5410499999999998e-06,0.0029927399102798475,0.0029927399102798475
DDX5,17,59928854,59929928,8.29779091566804,14,0.00348693,0.0029926764133206365,0.0029926764133206365
ATP2B2,3,10404567,10522341,9.60286731801772,135,0.0091172,0.002980927177522392,0.002980927177522392
ADORA1,1,201364028,201403156,7.207118921513881,49,0.0363232,0.0029797336764303163,0.0029797336764303163
PER1,17,7993281,7996427,4.992068724522417,14,0.0950824,0.002977448966650783,0.002977448966650783
GNB3,12,6820293,6826818,6.0877297090784435,19,0.0431406,0.00297458941320397,0.00297458941320397
HOXC5,12,52713098,52715411,3.9613142566591946,13,0.247495,0.002965138665479585,0.002965138665479585
EIF5A,17,7152445,7156152,7.798752808437874,19,0.00779468,0.0029592755243143627,0.0029592755243143627
BMP2,20,6696744,6708910,7.794695274641784,28,0.0115336,0.0029546794214291355,0.0029546794214291355
ZNF675,19,23627547,23661857,4.422912520124008,3,0.0359977,0.0029354922650694287,0.0029354922650694287
STIM1,11,4036554,4071015,8.218673187096138,32,0.00862632,0.0029264845563370624,0.0029264845563370624
LPL,8,19840861,19869050,7.662969788226442,51,0.0239654,0.0029264351493476365,0.0029264351493476365
RGR,10,85994788,86008924,7.549415654467168,34,0.0178982,0.002924964966090101,0.002924964966090101
MORC1,3,110159776,110319658,9.22136354185165,91,0.00900024,0.002919867160533035,0.002919867160533035
SNX3,6,108639409,108689156,7.998075951350774,23,0.0077305,0.0029182499764599077,0.0029182499764599077
PAIP1,5,43562126,43593244,8.050712949516072,20,0.00637749,0.0029130144626894694,0.0029130144626894694
ZBTB10,8,81561002,81597165,5.591693843613059,15,0.055930600000000004,0.0028879165648588835,0.0028879165648588835
SPTLC1,9,93881166,93917511,11.314775298746632,22,0.000268212,0.002887202403017713,0.002887202403017713
POMC,2,25237225,25245063,6.9245073140698645,16,0.0157342,0.0028763238497542935,0.0028763238497542935
TGM5,15,41312666,41346347,7.9022998873440145,27,0.00998708,0.0028369478228500956,0.0028369478228500956
CRIP3,6,43381683,43384508,7.824699795955774,7,0.00279817,0.0028337990540755345,0.0028337990540755345
GRIA1,5,152850276,153173622,13.6451714240603,232,0.00027508400000000004,0.0028296582959349676,0.0028296582959349676
OTUD3,1,20081474,20112024,6.801034089461001,25,0.0278156,0.002822810414775389,0.002822810414775389
AKT3,1,241733106,242073207,14.380697605818105,130,7.3873e-05,0.002805780849754757,0.002805780849754757
PPP4C,16,29994884,30004196,7.6710395568343435,10,0.00466133,0.0028037832024809858,0.0028037832024809858
COL4A2,13,109757631,109963374,12.742814176704181,231,0.0006752710000000001,0.0027993387600579135,0.0027993387600579135
SERPING1,11,57122297,57138902,7.4507557513078675,17,0.00987704,0.0027918018509715827,0.0027918018509715827
CBFA2T3,16,87478954,87570902,9.704423601742588,40,0.00244052,0.0027853364061237087,0.0027853364061237087
SNRNP70,19,54301033,54303682,6.929498287601131,12,0.0117419,0.0027807959983912234,0.0027807959983912234
ASNS,7,97319376,97339790,10.8498430415485,26,0.000504599,0.0027792206418363833,0.0027792206418363833
MAPK4,18,46340481,46512194,9.393307591711055,132,0.0109929,0.002775865916827819,0.002775865916827819
ACOT7,1,6246918,6376413,9.32772054761509,68,0.00604688,0.0027755361185699138,0.0027755361185699138
MAP3K3,17,59063772,59127402,7.512401332566163,31,0.0169343,0.002772933735968697,0.002772933735968697
UBE4A,11,117735511,117775136,9.337795027329298,24,0.0021128,0.0027657781452348987,0.0027657781452348987
PDE1A,2,182837272,183095710,9.792371500651669,122,0.0068169,0.002762547031136436,0.002762547031136436
PSMD1,2,231629852,231745717,8.185217263597151,57,0.015888399999999997,0.0027574173418878686,0.0027574173418878686
ADAMTS5,21,27212111,27260703,9.669776585284264,58,0.00366351,0.00275327577065772,0.00275327577065772
CORO2A,9,99958171,99994743,7.171516553296392,58,0.0445531,0.0027519975034191882,0.0027519975034191882
PPM1M,3,52257481,52259655,11.500601715281396,11,0.000111364,0.002749180783085197,0.002749180783085197
SUZ12,17,27288184,27352162,7.540129949501986,28,0.014877200000000002,0.0027474505321082574,0.0027474505321082574
BLNK,10,97941444,98021323,9.860287212053574,68,0.0035500999999999996,0.002743919265648279,0.002743919265648279
ME3,11,85829797,86061176,10.314260910553516,172,0.00570298,0.0027406862558169644,0.0027406862558169644
ADH5,4,100215398,100228954,8.058694889282718,33,0.010439200000000001,0.0027330778999018483,0.0027330778999018483
GTF2A2,15,57718357,57736985,10.876883984707488,26,0.000491137,0.0027306720628263127,0.0027306720628263127
RIT2,18,38577189,38949655,8.350629309127424,159,0.037563400000000004,0.0027227145846896593,0.0027227145846896593
EGF,4,111121281,111152870,8.758557661061717,38,0.00597022,0.0027113909832129517,0.0027113909832129517
WFDC13,20,43764068,43770870,6.840377043652189,11,0.0117667,0.0027109311070965133,0.0027109311070965133
BTN2A2,6,26491441,26503079,18.319966587317268,43,4.75563e-07,0.002710556793693837,0.002710556793693837
TMPRSS2,21,41761530,41824913,5.724440825121896,56,0.18285,0.002705532397267906,0.002705532397267906
HIST1H4I,6,27215066,27215436,12.029324282477283,13,7.756649999999999e-05,0.0027030703963859728,0.0027030703963859728
INA,10,105026909,105040093,9.817337379609619,12,0.000653982,0.002700214217179917,0.002700214217179917
MTPN,7,135262042,135312744,8.387553452370984,22,0.00500904,0.002692963545190398,0.002692963545190398
SNRNP40,1,31505001,31542231,8.052314450853617,26,0.00827747,0.0026929302926724207,0.0026929302926724207
PSMD8,19,43557488,43565233,7.82255545561923,18,0.00721074,0.002691390348719707,0.002691390348719707
GLYCTK,3,52301344,52302531,3.863248714400565,9,0.188997,0.0026831010649399673,0.0026831010649399673
TCTA,3,49424642,49428913,6.8782311514055525,14,0.0144195,0.0026794047953646325,0.0026794047953646325
EXO1,1,240078157,240119671,8.712244661603105,52,0.00855704,0.0026762229639837255,0.0026762229639837255
HIST1H4C,6,26212154,26212544,17.668557358292123,23,4.87945e-07,0.0026710008388598203,0.0026710008388598203
CCPG1,15,53439028,53487534,6.731757438241029,31,0.0369655,0.0026678183938102906,0.0026678183938102906
PIK3C2B,1,202690419,202726097,8.979652777222782,35,0.00440813,0.002664652235214764,0.002664652235214764
NCAPD3,11,133527546,133599636,9.691953351932257,36,0.00222403,0.002659958621097992,0.002659958621097992
RBM8A,1,144221788,144224235,6.76813827464622,9,0.0103485,0.0026596920342906788,0.0026596920342906788
CDC5L,6,44463279,44522758,13.56944260111026,37,4.73225e-05,0.0026493430202112005,0.0026493430202112005
SMC1B,22,44144475,44181410,5.800872523201847,21,0.0635232,0.002647726506621686,0.002647726506621686
RBMS1,2,160846070,161058551,9.115360825337376,99,0.0108864,0.0026460618523854967,0.0026460618523854967
CUBN,10,16951640,16989753,6.868261323810629,38,0.039530800000000005,0.002641492911878926,0.002641492911878926
CYLC2,9,104797483,104820591,7.768445115625282,37,0.015646200000000002,0.002633628544304083,0.002633628544304083
PHF2,9,95465009,95481686,9.513681248179713,19,0.00140286,0.0026289966074910594,0.0026289966074910594
GTF2H3,12,122684333,122711287,7.314971920129108,21,0.0139755,0.0026225309500325527,0.0026225309500325527
PRKCE,2,45757376,45926400,10.524944639639791,170,0.00456587,0.0026196816909821786,0.0026196816909821786
SCG3,15,49760841,49800515,7.732098621757157,35,0.0153483,0.002619259581059031,0.002619259581059031
N4BP1,16,47130137,47201621,6.892181035728603,26,0.026408099999999997,0.002618428292291163,0.002618428292291163
TIAM1,21,31506817,31854161,11.504868013592498,200,0.00201618,0.0026154530179373055,0.0026154530179373055
SNX14,6,86271933,86360348,9.455667186931981,41,0.00320804,0.0026045343134582367,0.0026045343134582367
ARMC2,6,109276311,109402045,8.438570294616108,54,0.0116834,0.0025976349948519683,0.0025976349948519683
SLC39A11,17,68348221,68600410,9.050003353279216,171,0.0200738,0.002592241588833822,0.002592241588833822
PSMB4,1,149638664,149641036,7.017787005236522,7,0.00627064,0.00258834227901543,0.00258834227901543
TCF20,22,40885962,40941389,8.668343830414997,22,0.00378276,0.002583621619906967,0.002583621619906967
PRPF18,10,13669011,13737933,7.324470937863156,60,0.0395525,0.002580069429582639,0.002580069429582639
TFB1M,6,155620498,155677318,8.546684151131553,58,0.0112629,0.002579070204145716,0.002579070204145716
CYP2E1,10,135195069,135224714,8.268029820521033,62,0.015908600000000002,0.002574675584808544,0.002574675584808544
SVOPL,7,137929569,137999509,12.625936372562185,44,0.00014457,0.0025710336035129322,0.0025710336035129322
SOX5,12,23806677,23995221,9.414787698986006,86,0.00700984,0.0025689026365777637,0.0025689026365777637
PIK3CG,7,106293159,106334828,6.8589651148127055,25,0.02625,0.0025680471090399103,0.0025680471090399103
SOX11,2,5750249,5758968,8.819372434466626,9,0.00133057,0.002550149768345577,0.002550149768345577
PAX5,9,36828530,37024476,10.222091433048066,181,0.00658083,0.0025478039415911817,0.0025478039415911817
SORBS1,10,97163807,97311161,10.103893526095769,128,0.00523775,0.0025470168104091387,0.0025470168104091387
CXCR4,2,136588388,136592195,8.082560943516771,10,0.00308879,0.002543890808197015,0.002543890808197015
GRK4,4,2935140,3012272,9.84902579466257,43,0.00227034,0.002542948402920571,0.002542948402920571
ZFPM2,8,106400322,106885943,9.929043484107684,224,0.010917399999999999,0.002535205365929375,0.002535205365929375
TET2,4,106374548,106378046,3.6826071661039186,10,0.251573,0.002534982007342675,0.002534982007342675
TNFSF11,13,42046297,42080148,8.340118709809273,35,0.00835604,0.0025306058693787222,0.0025306058693787222
CD109,6,74462234,74594761,9.866769969600965,80,0.0041496,0.0025271595476358604,0.0025271595476358604
GIMAP8,7,149778894,149807416,4.648723179019578,22,0.21062399999999998,0.002526001095925194,0.002526001095925194
CNTN2,1,203294355,203313761,9.62512107625399,47,0.00310428,0.00252224558082098,0.00252224558082098
PTPN21,14,88028996,88087586,8.32119531304028,37,0.00900228,0.0025139255471518713,0.0025139255471518713
OCM2,7,97451948,97457352,6.248245317220794,9,0.0174046,0.0025094187750900132,0.0025094187750900132
TP53BP1,15,41486698,41590028,11.027465513581873,54,0.000877458,0.0025088507940104624,0.0025088507940104624
IFIT3,10,91082282,91090296,9.229009718600633,26,0.00255191,0.002507246577983187,0.002507246577983187
MMP13,11,102318933,102331672,6.145902490413665,24,0.0514138,0.0025059021139591047,0.0025059021139591047
ACVR1,2,158301204,158440620,10.026366362122968,48,0.00212249,0.0025027999409478864,0.0025027999409478864
GPN2,1,27078459,27089456,8.837580487095053,14,0.00203243,0.002500909382505875,0.002500909382505875
CSHL1,17,59340708,59342350,5.3041895742608505,4,0.019882900000000002,0.0024987985377654108,0.0024987985377654108
ZNF251,8,145917102,145951775,5.2104774440082,9,0.0491316,0.0024926691987715095,0.0024926691987715095
PPP2R2B,5,145949260,146441226,12.003522009611151,249,0.00152453,0.002492164115494414,0.002492164115494414
UAP1,1,160797919,160836257,7.563825445185002,17,0.00882107,0.002491887043842019,0.002491887043842019
