Gene,Chr,Gene Start,Gene End,Gene Score,nSNPs,TopSNP P-Value,Gene ReScorePR
SLFN5,17,30594198,30618874,0.0017643314,34,5.18921e-05,0.0017643314
DIP2B,12,49365882,49428717,0.0014814352000000002,28,5.29084e-05,6.455428996891528e-08
UNC5B,10,72642354,72729716,0.00423824,80,5.2978e-05,1.3730174560014366e-09
KATNAL2,18,42780814,42881663,0.00301499,55,5.4818e-05,1.2459511685598701e-08
HIST1H2AM,6,27968455,27968942,0.000605814,11,5.5073999999999995e-05,0.000605814
HIST1H2BO,6,27969181,27969648,0.000605814,11,5.5073999999999995e-05,3.264508275439298e-09
SUFU,10,104346437,104383199,0.0013353672,24,5.5640299999999996e-05,8.297794534012348e-09
CADPS2,7,121745713,122313790,0.010743936,192,5.5958e-05,0.010743936
XPR1,1,178867795,179122103,0.003990782199999999,71,5.6208199999999995e-05,1.8084055938446504e-07
UBE2D2,5,138920934,138988202,0.00115078,20,5.7539e-05,7.625480214964865e-08
LRP5,11,67836683,67973319,0.0036307845,63,5.76315e-05,1.0152153875831815e-07
SFXN2,10,104466356,104488933,0.0010962715,19,5.76985e-05,0.0010962715
PTBP2,1,97023202,97052936,0.0009856004999999998,17,5.7976499999999996e-05,2.421242677527512e-08
NCAN,19,19211867,19224061,0.0006429775,11,5.84525e-05,6.136223329467985e-08
HAPLN4,19,19227470,19245074,0.001285955,22,5.84525e-05,6.257365228517449e-10
ARL3,10,104423477,104464180,0.0014507664,24,6.0448599999999996e-05,5.0710757826130624e-08
RIMS1,6,73016753,73169229,0.0036494745000000004,59,6.18555e-05,4.914885284721484e-08
SLC9A9,3,144466753,145049979,0.0252134194,398,6.33503e-05,0.0252134194
SLC17A2,6,26020962,26038818,0.0019763895,31,6.37545e-05,1.661986915058873e-09
SPOCK1,5,136338885,136862917,0.0219533754,341,6.43794e-05,5.786459677276222e-06
GNL3,3,52694975,52703550,0.001055872,16,6.5992e-05,0.001055872
GLT8D1,3,52709500,52715088,0.00098988,15,6.5992e-05,9.203393357805725e-08
GLDC,9,6522463,6635692,0.0045130932,67,6.73596e-05,4.143566821073248e-08
PBRM1,3,52618142,52624512,0.0009106409,13,7.00493e-05,0.0009106409
TRIM8,10,104394241,104408066,0.0009818522,14,7.013229999999999e-05,0.0009818522
CDH13,16,81218078,82387700,0.09625347740000001,1367,7.04122e-05,9.042707754093378e-07
SLCO6A1,5,101735550,101862619,0.0029123981,41,7.10341e-05,0.0029123981
XYLB,3,38376833,38417781,0.0031213872,43,7.25904e-05,1.6717801288402172e-07
CYP2C9,10,96688404,96739138,0.003385968,46,7.3608e-05,5.5114114865371604e-08
AKT3,1,241733106,242073207,0.009603490000000001,130,7.3873e-05,9.749903951541549e-07
HIST1H2BK,6,27222175,27222556,0.0008272978999999999,11,7.52089e-05,1.3690072627854271e-09
HIST1H2AH,6,27222886,27223325,0.000752089,10,7.52089e-05,2.3315691412396336e-08
CYP17A1,10,104580277,104587280,0.001140585,15,7.6039e-05,1.0716212113403853e-09
MC3R,20,54257194,54258278,0.00190276,25,7.61104e-05,3.2287694104091574e-08
HIST1H4I,6,27215066,27215436,0.0010083644999999998,13,7.756649999999999e-05,1.1125324969623493e-07
SLC4A10,2,162189090,162550032,0.0113400916,142,7.98598e-05,3.183274262370143e-07
KLHL1,13,69172725,69580460,0.0165792739,203,8.16713e-05,0.0165792739
TBC1D12,10,96152175,96286079,0.0022991332,28,8.211190000000001e-05,3.894210476599274e-08
SH3GL3,15,81907286,82078495,0.007432559199999999,88,8.44609e-05,1.7864601077340385e-08
CORO7,16,4385290,4406628,0.0013841279999999999,16,8.650799999999999e-05,0.0013841279999999999
ACOXL,2,111273061,111568392,0.0186309915,209,8.91435e-05,0.0186309915
SGSM1,22,23569426,23652813,0.006637888800000001,72,9.219290000000001e-05,0.006637888800000001
NEK4,3,52746554,52779991,0.001899044,20,9.49522e-05,0.001899044
SPCS1,3,52714896,52717237,0.0011566259999999998,12,9.638549999999999e-05,0.0011566259999999998
TTC31,2,74563723,74575191,0.0016601095,17,9.76535e-05,4.275681937956436e-09
LBX2,2,74578151,74583951,0.001562456,16,9.76535e-05,0.001562456
PCGF1,2,74585677,74588329,0.0014648025,15,9.76535e-05,4.490317632114318e-10
SRPK2,7,104560686,104827034,0.010692049799999999,109,9.80922e-05,1.1534204772892485e-06
ART3,4,77222000,77252962,0.004018519999999999,40,0.00010046299999999999,1.1348852268052923e-06
EIF4E2,2,233123600,233156593,0.004325026,43,0.00010058200000000001,0.004325026
ZBED4,22,48663314,48666830,0.001215456,12,0.000101288,1.102131376948196e-07
WDR73,15,82987014,82998528,0.0017225759999999998,17,0.00010132799999999999,5.4107606652386964e-08
NMB,15,82999363,83002806,0.0014185919999999998,14,0.00010132799999999999,5.990819878419104e-08
PLA2G2F,1,20338409,20349466,0.00101447,10,0.000101447,1.0095521244954304e-08
KCNQ3,8,133210437,133562186,0.025900126,254,0.000101969,1.4924111162318476e-08
OSBPL1A,18,20025630,20154745,0.00670423,65,0.00010314200000000001,0.00670423
HEBP1,12,13029845,13044488,0.002065,20,0.00010325,0.002065
C12orf42,12,102219862,102413879,0.010128449000000001,97,0.00010441700000000001,0.010128449000000001
ANP32E,1,148457478,148475084,0.0012613799999999999,12,0.000105115,1.312806425393688e-09
DCP1B,12,1925474,1983938,0.004435074000000001,42,0.00010559700000000001,1.1355528053118706e-07
TMEM173,5,138835732,138842476,0.0006379920000000001,6,0.00010633200000000001,0.0006379920000000001
FOXR1,11,118354701,118357205,0.000980478,9,0.000108942,0.000980478
GLG1,16,73044199,73198518,0.009074058,83,0.000109326,1.646698904158294e-07
CA14,1,148496841,148504102,0.00109398,10,0.000109398,4.121899791368296e-09
APH1A,1,148504422,148508156,0.001203378,11,0.000109398,0.001203378
C1orf54,1,148511825,148519951,0.001422174,13,0.000109398,0.001422174
PRPF3,1,148572073,148585236,0.000766423,7,0.000109489,1.5214183632069522e-07
NLN,5,65117357,65155145,0.005652482999999999,51,0.00011083299999999999,2.6905886180461526e-09
FHIT,3,59710460,61212173,0.149593779,1347,0.000111057,7.026330415646348e-06
OR1Q1,9,124416837,124417782,0.0024434079999999998,22,0.00011106399999999999,0.0024434079999999998
OR1B1,9,124430678,124431635,0.002110216,19,0.00011106399999999999,1.2003837590326625e-08
PPM1M,3,52257481,52259655,0.001225004,11,0.000111364,1.4953863101527284e-07
WDR82,3,52263477,52287699,0.001225004,11,0.000111364,0.001225004
DPEP1,16,88224197,88232340,0.001559684,14,0.000111406,2.6515705492726096e-08
TTC7B,14,90076684,90352514,0.017387136,156,0.000111456,0.017387136
CTNNA1,5,138239240,138298622,0.003461305,31,0.000111655,6.753548828886592e-09
TCERG1L,10,132786558,132948697,0.018859848,168,0.000112261,0.018859848
CYP2C19,10,96512452,96602661,0.004268008,38,0.000112316,6.9441658913161e-08
SH3PXD2A,10,105343773,105605154,0.015642023999999997,138,0.00011334799999999999,9.931302720436959e-07
PDCD11,10,105146401,105196009,0.003563946,31,0.00011496600000000001,0.003563946
CALHM2,10,105198860,105202648,0.0019544220000000004,17,0.00011496600000000001,0.0019544220000000004
ALG12,22,48682856,48698110,0.002559084,22,0.000116322,0.002559084
PCDH8,13,52316109,52320775,0.001651384,14,0.00011795600000000001,6.851576120402101e-08
PTK7,6,43235253,43237429,0.000950208,8,0.000118776,7.291386873315997e-08
RPRD2,1,148603613,148715665,0.003920994,33,0.00011881799999999999,4.676126089786675e-08
BRD1,22,48552940,48607200,0.003105986,26,0.000119461,4.88336996452927e-09
MDGA2,14,46409892,47165478,0.040662033,339,0.00011994700000000001,0.040662033
TWF2,3,52237665,52248223,0.002795535,23,0.000121545,1.0900190877305822e-07
FAM184A,6,119322694,119512057,0.011186096,92,0.00012158799999999999,0.011186096
CAMK1D,10,12431588,12911739,0.049875738,402,0.000124069,7.684606524434086e-08
KCNG1,20,49058623,49073024,0.0017443860000000001,14,0.000124599,0.0017443860000000001
HELLS,10,96295563,96351846,0.0038020199999999997,30,0.00012673399999999998,0.0038020199999999997
CXXC5,5,139008701,139042864,0.0023043239999999995,18,0.00012801799999999998,0.0023043239999999995
PRDM14,8,71126576,71146116,0.00333385,26,0.000128225,4.835567759166782e-09
UPK2,11,118332235,118334479,0.001055336,8,0.000131917,8.118855652234299e-08
ZNF423,16,48082021,48418419,0.027926535,205,0.000136227,0.027926535
KCNQ1,11,2439259,2826916,0.028836149999999998,210,0.000137315,7.578562445579512e-07
PIAS2,18,42670206,42754121,0.004815404999999999,35,0.000137583,0.004815404999999999
SIL1,5,138315375,138406307,0.00556472,40,0.000139118,2.898881481578685e-07
VPS41,7,38730067,38915325,0.014684145,105,0.000139849,0.014684145
CNOT7,8,17143173,17147127,0.0015532329999999998,11,0.00014120299999999998,6.451996429748769e-08
ANTXR1,2,69093992,69329806,0.020082776,142,0.000141428,2.4417309242869845e-07
PBX1,1,162795560,163082934,0.029170012000000002,206,0.000141602,3.633840478928822e-06
FAM120A,9,95364984,95366851,0.000427485,3,0.000142495,0.000427485
QPCT,2,37425256,37453969,0.004571168,32,0.000142849,1.7268378230486904e-07
TRIM24,7,137795618,137920872,0.00448167,31,0.00014457,7.010243841511194e-08
SVOPL,7,137929569,137999509,0.00636108,44,0.00014457,6.851303310463012e-07
RFT1,3,53099849,53139503,0.0037942320000000002,26,0.000145932,5.0878467008822234e-09
POMT1,9,133368164,133389014,0.004090436,28,0.000146087,3.233792753495623e-07
CDH4,20,59608228,59945694,0.039227094,258,0.00015204299999999998,0.039227094
BNIP2,15,57742353,57768934,0.00488576,32,0.00015268,1.6284301358796092e-07
MRPS21,1,148532892,148547443,0.00183666,12,0.000153055,3.2101878223992165e-09
CPEB1,15,81009005,81113783,0.007111462,46,0.000154597,0.007111462
NRBP1,2,27511952,27518628,0.001418859,9,0.000157651,1.4728131652041965e-07
KRTCAP3,2,27518816,27520667,0.001261208,8,0.000157651,3.1427556678298654e-10
TTLL6,17,44202088,44236884,0.003783888,24,0.000157662,0.003783888
SORBS2,4,186804764,186970386,0.022505722,142,0.000158491,0.022505722
LPAR3,1,85051673,85131484,0.010968672,68,0.000161304,2.8874670978526504e-07
PRR12,19,54786723,54821508,0.002581504,16,0.000161344,0.002581504
LYN,8,56954939,57086494,0.014844557,91,0.000163127,3.940663838147636e-08
MTMR7,8,17203534,17250961,0.013271446999999999,79,0.000167993,1.2288045705368013e-06
LIPC,15,56511483,56643499,0.025893406,154,0.000168139,7.134644071635412e-07
PTPRM,18,7557313,8396859,0.076583727,453,0.00016905900000000002,5.6885425435148766e-08
LIMA1,12,48855829,48963620,0.007972939,47,0.00016963700000000002,0.007972939
CLSTN2,3,141136896,141769322,0.08005634099999999,471,0.000169971,8.028391123279365e-08
NDUFA13,19,19487539,19500073,0.0022163829999999997,13,0.000170491,0.0022163829999999997
YJEFN3,19,19500719,19509393,0.0022163829999999997,13,0.000170491,1.0694513471197708e-07
CILP2,19,19510073,19518468,0.002557365,15,0.000170491,0.002557365
TMEM211,22,23661207,23665314,0.001372864,8,0.000171608,0.001372864
ZNF835,19,61866764,61876058,0.0022512879999999997,13,0.00017317599999999998,0.0022512879999999997
MAN1A1,6,119569421,119712625,0.014496364999999999,83,0.000174655,5.514970523990588e-08
STAG1,3,137719574,137953935,0.013783284000000002,76,0.00018135900000000002,0.013783284000000002
CREB5,7,28692245,28832036,0.015465409999999999,85,0.000181946,1.5238288058547207e-06
STK31,7,23794123,23910890,0.014413707999999999,79,0.000182452,2.86847887238395e-07
RYR2,1,235272324,236063911,0.09987615500000001,545,0.00018325900000000002,3.952185754730936e-06
NUP54,4,77254840,77288679,0.005705395,31,0.000184045,0.005705395
ZNF804A,2,185171337,185512459,0.015658615,85,0.000184219,6.345089508032098e-08
SYNM,15,97462808,97493323,0.008565062,46,0.000186197,0.008565062
SNRK,3,43319593,43349854,0.002254476,12,0.000187873,1.0483554038838211e-07
PGAM1,10,99176016,99183188,0.001323266,7,0.000189038,0.001323266
KCNAB2,1,6028567,6083110,0.007375485,39,0.000189115,1.7319471928284097e-07
AP3B2,15,81129033,81129061,0.002100692,11,0.000190972,2.2850331981093963e-08
SLC25A21,14,36218828,36711616,0.07003145499999999,365,0.000191867,6.725752069910865e-08
TSSK6,19,19486027,19487469,0.001727964,9,0.000191996,0.001727964
CACNA1A,19,13178256,13478274,0.0307704,160,0.000192315,3.6896364421198036e-06
SLC32A1,20,36786518,36791429,0.003479634,18,0.000193313,5.1617164938373974e-08
C16orf91,16,1409944,1419346,0.0023227680000000002,12,0.00019356400000000002,1.854357776127332e-08
CCDC154,16,1424393,1425304,0.0019356400000000002,10,0.00019356400000000002,0.0019356400000000002
CTF1,16,30815428,30822382,0.001161738,6,0.000193623,1.136956201869222e-07
KIF26B,1,243876016,243918732,0.008730944999999999,45,0.00019402099999999998,9.283977435059845e-08
DDX24,14,93587020,93617311,0.00582927,30,0.000194309,1.3413034300113183e-08
IFI27L1,14,93617391,93638808,0.005440652000000001,28,0.000194309,0.005440652000000001
ADAMTS2,5,178510735,178704935,0.030589251999999997,157,0.000194836,4.02272677489898e-06
ANKS6,9,100534115,100592709,0.006688072,34,0.000196708,5.407014364801537e-07
CRELD2,22,48698347,48707180,0.0028042139999999998,14,0.00020030099999999998,0.0028042139999999998
ADRA1D,20,4149277,4177659,0.006257535999999999,31,0.00020185599999999999,1.190265276863514e-06
TSNARE1,8,143349753,143482444,0.011821907999999999,58,0.000203826,7.673422535858904e-08
NRG2,5,139207443,139403063,0.018058850999999997,87,0.00020757299999999999,0.018058850999999997
TMCO5A,15,36014749,36030915,0.002508852,12,0.000209071,1.855059734098734e-09
RFWD3,16,73212797,73258280,0.00632394,30,0.000210798,0.00632394
ZSCAN2,15,82945252,82967951,0.0031657050000000004,15,0.00021104700000000001,8.26381374625896e-08
KCNK9,8,140699430,140784481,0.015869775,75,0.000211597,0.015869775
