Gene,Chr,Gene Start,Gene End,Gene Score,nSNPs,TopSNP P-Value,Gene ReScorePR,Gene ReScoreRWR
CREB3L1,11,46293787,46299548,2.0936e-06,9,1.88424e-05,4.49770880623676e-12,0.007549712577481076
TMX2,11,57236617,57265020,1.2887066666666667e-06,15,1.93306e-05,1.2887066666666667e-06,1.2887066666666667e-06
SFMBT1,3,52913666,53055110,4.797073170731707e-07,41,1.9668e-05,2.1026091338543104e-11,0.00722884582148354
KIAA0391,14,34661678,34813248,3.546719298245614e-07,57,2.02163e-05,3.546719298245614e-07,3.546719298245614e-07
SLCO4C1,5,101597590,101660152,5.771055555555555e-07,36,2.07758e-05,5.771055555555555e-07,5.771055555555555e-07
CWF19L2,11,106702281,106833782,3.24996875e-07,64,2.07998e-05,1.154522585747088e-12,0.007295215888268484
GCKR,2,27573209,27600054,9.960272727272728e-07,22,2.19126e-05,3.415613448896304e-12,0.0071569723313738495
CLP1,11,57181205,57185913,3.136557142857143e-06,7,2.19559e-05,3.8142273550937833e-10,0.0072239902554714595
VRK2,2,58127335,58240509,5.841044444444444e-07,45,2.62847e-05,1.5647326163270689e-12,0.0072352609819411485
FANCL,2,58240746,58322019,7.509914285714286e-07,35,2.62847e-05,9.427252243087844e-13,0.006649005810760706
ZDHHC5,11,57205526,57225235,2.7573099999999997e-06,10,2.75731e-05,1.6442163407334177e-10,0.007108864549697049
MED19,11,57227762,57236249,3.4466375e-06,8,2.75731e-05,1.2563435455700083e-12,0.006625114160362434
WDR18,19,935327,945569,1.4209761904761905e-06,21,2.9840500000000003e-05,1.0703539376417779e-12,0.00672562698911686
GRIN3B,19,951436,960723,1.4209761904761905e-06,21,2.9840500000000003e-05,1.5742429601110015e-10,0.00708455788720901
DPF3,14,72206412,72430562,2.1591007194244607e-07,139,3.0011500000000002e-05,2.428235449474463e-12,0.007312779553488109
GRM3,7,86111165,86332128,3.386670212765957e-07,94,3.1834699999999995e-05,2.5319340031367374e-11,0.007724979194047493
MAGOH,1,53465151,53476795,2.1522533333333334e-06,15,3.2283800000000004e-05,4.274161536100992e-11,0.007426920627452663
LRP8,1,53488949,53506858,2.1522533333333334e-06,15,3.2283800000000004e-05,2.1522533333333334e-06,2.1522533333333334e-06
PROX2,14,74391587,74400290,3.23994e-06,10,3.23994e-05,1.9312331629514358e-11,0.0066120110604476895
ZDHHC2,8,17058401,17124612,5.715298245614034e-07,57,3.25772e-05,2.000279518134767e-11,0.006999616667990622
ZSCAN20,1,33710838,33734582,1.2612538461538461e-06,26,3.27926e-05,1.523030201892499e-11,0.006877063530601729
SERPINF2,17,1592879,1605309,1.5180272727272726e-06,22,3.33966e-05,4.858530619240122e-11,0.007812132514791026
SERPINF1,17,1612008,1627618,1.0773096774193547e-06,31,3.33966e-05,1.4701028934532118e-12,0.0075767515079866845
VPS37A,8,17176655,17197418,1.175693103448276e-06,29,3.4095100000000005e-05,4.378792646930632e-13,0.0065167263521894005
DNAJC19,3,182184197,182190224,3.42759e-06,10,3.42759e-05,6.818666619988712e-11,0.006939494231783964
YPEL4,11,57169135,57173993,4.3101375000000005e-06,8,3.4481100000000004e-05,3.613718643998963e-12,0.010198851135496557
CALHM1,10,105203133,105208635,1.9896888888888888e-06,18,3.58144e-05,1.9896888888888888e-06,1.9896888888888888e-06
CALHM3,10,105222550,105228987,2.1067294117647057e-06,17,3.58144e-05,2.1067294117647057e-06,2.1067294117647057e-06
ABT1,6,26705158,26708256,2.112e-06,17,3.5904e-05,2.112e-06,2.112e-06
EMX1,2,72998111,73015528,3.070275e-06,12,3.68433e-05,1.2761405834959084e-10,0.0073324339382364
TMEM151B,6,44348780,44452882,4.508952380952381e-07,84,3.78752e-05,4.508952380952381e-07,4.508952380952381e-07
SPATS1,6,44418463,44452882,1.0821485714285715e-06,35,3.78752e-05,1.2907954490483232e-12,0.007562650025537421
DNAJA3,16,4415882,4446776,2.40690625e-06,16,3.85105e-05,5.014596917628474e-11,0.007016923138931465
NMRAL1,16,4451695,4466308,2.7507500000000003e-06,14,3.85105e-05,1.9124437390199548e-11,0.009219113506985606
HMOX2,16,4485859,4500349,1.8170954545454544e-06,22,3.99761e-05,1.1501620406854208e-12,0.007902488526663143
FOXP1,3,71329723,71715830,2.1758923076923077e-07,195,4.24299e-05,6.396034737844061e-12,0.007228120505841287
INHBA,7,41695125,41709231,3.3607000000000003e-06,13,4.36891e-05,1.0840404345058396e-11,0.006689876780041498
KIF5C,2,149564694,149591519,3.177657142857143e-06,14,4.44872e-05,3.177657142857143e-06,3.177657142857143e-06
SNX19,11,130281057,130291554,2.0327272727272725e-06,22,4.472e-05,3.3245769912029104e-10,0.007335596180896434
FAM120AOS,9,95248602,95255695,7.478966666666667e-06,6,4.4873800000000004e-05,3.457616708512504e-10,0.006791160202074223
RRP12,10,99106447,99151055,1.1924368421052634e-06,38,4.5312600000000004e-05,1.5727998220483192e-10,0.007156707817831825
HIST1H3J,6,27966071,27966549,4.55229e-06,10,4.55229e-05,2.9452197736627897e-10,0.007271050804816275
MYLK4,6,2608861,2696153,4.198137614678899e-07,109,4.57597e-05,4.198137614678899e-07,4.198137614678899e-07
CDC5L,6,44463279,44522758,1.2789864864864864e-06,37,4.73225e-05,1.279696709852452e-10,0.0077091552065020165
FEZF1,7,121729286,121731835,4.77657e-06,10,4.7765699999999996e-05,4.77657e-06,4.77657e-06
THRB,3,24168884,24511457,1.8610459770114942e-07,261,4.85733e-05,9.91739865891828e-12,0.007479627213337214
FXR1,3,182163415,182163517,9.88038e-06,5,4.94019e-05,6.628003932847928e-12,0.006193192371156002
ZSWIM4,19,13767273,13804044,3.3218799999999998e-06,15,4.98282e-05,9.397927883032814e-11,0.007058009340613059
TTC23,15,97513091,97608951,8.419483333333333e-07,60,5.05169e-05,8.419483333333333e-07,8.419483333333333e-07
SLFN5,17,30594198,30618874,1.5262382352941176e-06,34,5.18921e-05,1.5262382352941176e-06,1.5262382352941176e-06
DIP2B,12,49365882,49428717,1.8895857142857143e-06,28,5.29084e-05,8.035380132996497e-11,0.007136575355624115
UNC5B,10,72642354,72729716,6.62225e-07,80,5.2978e-05,1.8813704761939023e-13,0.006401165693765348
KATNAL2,18,42780814,42881663,9.966909090909092e-07,55,5.4818e-05,3.384641988774393e-12,0.0064089436688671885
HIST1H2AM,6,27968455,27968942,5.006727272727272e-06,11,5.5073999999999995e-05,5.006727272727272e-06,5.006727272727272e-06
HIST1H2BO,6,27969181,27969648,5.006727272727272e-06,11,5.5073999999999995e-05,2.611127449327751e-11,0.007532125858007675
SUFU,10,104346437,104383199,2.3183458333333333e-06,24,5.5640299999999996e-05,1.2798845482901995e-11,0.0068581263446497506
CADPS2,7,121745713,122313790,2.914479166666667e-07,192,5.5958e-05,2.914479166666667e-07,2.914479166666667e-07
XPR1,1,178867795,179122103,7.916647887323943e-07,71,5.6208199999999995e-05,3.631932059888888e-11,0.007068637832948122
UBE2D2,5,138920934,138988202,2.87695e-06,20,5.7539e-05,1.7773062683289964e-10,0.007115394011264554
LRP5,11,67836683,67973319,9.147857142857142e-07,63,5.76315e-05,1.9522175137373073e-11,0.007130797711859623
SFXN2,10,104466356,104488933,3.036763157894737e-06,19,5.76985e-05,3.036763157894737e-06,3.036763157894737e-06
PTBP2,1,97023202,97052936,3.4103823529411763e-06,17,5.7976499999999996e-05,7.748556576247954e-11,0.006947290581817699
NCAN,19,19211867,19224061,5.313863636363637e-06,11,5.84525e-05,5.296012504787344e-10,0.007256305024297847
HAPLN4,19,19227470,19245074,2.6569318181818185e-06,22,5.84525e-05,1.2782603945013254e-12,0.006195224934188615
ARL3,10,104423477,104464180,2.5186916666666664e-06,24,6.0448599999999996e-05,2.7971919390632327e-10,0.007029674861985739
RIMS1,6,73016753,73169229,1.0483983050847457e-06,59,6.18555e-05,1.329539818275097e-11,0.007067918141813778
SLC9A9,3,144466753,145049979,1.59171608040201e-07,398,6.33503e-05,1.59171608040201e-07,1.59171608040201e-07
SLC17A2,6,26020962,26038818,2.056596774193548e-06,31,6.37545e-05,1.0100136260073864e-12,0.006089773905261017
SPOCK1,5,136338885,136862917,1.887958944281525e-07,341,6.43794e-05,4.466945390544504e-11,0.007197960073396297
GNL3,3,52694975,52703550,4.1245e-06,16,6.5992e-05,4.1245e-06,4.1245e-06
GLT8D1,3,52709500,52715088,4.3994666666666666e-06,15,6.5992e-05,3.9387900291191314e-10,0.00802417785857067
GLDC,9,6522463,6635692,1.0053671641791045e-06,67,6.73596e-05,9.202857086225243e-12,0.006972736972716218
PBRM1,3,52618142,52624512,5.388407692307693e-06,13,7.00493e-05,5.388407692307693e-06,5.388407692307693e-06
TRIM8,10,104394241,104408066,5.009449999999999e-06,14,7.013229999999999e-05,5.009449999999999e-06,5.009449999999999e-06
CDH13,16,81218078,82387700,5.150855888807608e-08,1367,7.04122e-05,7.4617205211263e-13,0.007422137060702614
SLCO6A1,5,101735550,101862619,1.732539024390244e-06,41,7.10341e-05,1.732539024390244e-06,1.732539024390244e-06
XYLB,3,38376833,38417781,1.6881488372093023e-06,43,7.25904e-05,7.850108082041299e-11,0.007170322656337338
CYP2C9,10,96688404,96739138,1.6001739130434783e-06,46,7.3608e-05,2.4130540931068355e-11,0.006975492241817019
AKT3,1,241733106,242073207,5.682538461538462e-07,130,7.3873e-05,5.672024495448256e-11,0.007768655295874433
HIST1H2BK,6,27222175,27222556,6.837172727272727e-06,11,7.52089e-05,1.0991820998389224e-11,0.008170230877813786
HIST1H2AH,6,27222886,27223325,7.52089e-06,10,7.52089e-05,2.0181149704370867e-10,0.007248762986718743
CYP17A1,10,104580277,104587280,5.0692666666666665e-06,15,7.6039e-05,4.368631497332084e-12,0.006659541028078771
MC3R,20,54257194,54258278,3.044416e-06,25,7.61104e-05,4.6254328005099e-11,0.007053063238838192
HIST1H4I,6,27215066,27215436,5.966653846153845e-06,13,7.756649999999999e-05,6.589996111212889e-10,0.007850509427694101
SLC4A10,2,162189090,162550032,5.623929577464789e-07,142,7.98598e-05,1.4311806441744995e-11,0.007491996731724543
KLHL1,13,69172725,69580460,4.023216748768473e-07,203,8.16713e-05,4.023216748768473e-07,4.023216748768473e-07
TBC1D12,10,96152175,96286079,2.9325678571428575e-06,28,8.211190000000001e-05,4.6937331347816367e-11,0.007536430998872308
SH3GL3,15,81907286,82078495,9.597829545454546e-07,88,8.44609e-05,2.018607204076611e-12,0.006739441988470222
CORO7,16,4385290,4406628,5.4067499999999995e-06,16,8.650799999999999e-05,5.4067499999999995e-06,5.4067499999999995e-06
ACOXL,2,111273061,111568392,4.265239234449761e-07,209,8.91435e-05,4.265239234449761e-07,4.265239234449761e-07
SGSM1,22,23569426,23652813,1.2804569444444445e-06,72,9.219290000000001e-05,1.2804569444444445e-06,1.2804569444444445e-06
NEK4,3,52746554,52779991,4.74761e-06,20,9.49522e-05,4.74761e-06,4.74761e-06
SPCS1,3,52714896,52717237,8.032124999999999e-06,12,9.638549999999999e-05,8.032124999999999e-06,8.032124999999999e-06
TTC31,2,74563723,74575191,5.744323529411765e-06,17,9.76535e-05,3.467299886770052e-11,0.010453210557043688
LBX2,2,74578151,74583951,6.10334375e-06,16,9.76535e-05,6.10334375e-06,6.10334375e-06
PCGF1,2,74585677,74588329,6.510233333333333e-06,15,9.76535e-05,1.7289141321529615e-12,0.00627807935724516
SRPK2,7,104560686,104827034,8.999284403669725e-07,109,9.80922e-05,5.565203899264924e-11,0.0071189332033908285
ART3,4,77222000,77252962,2.5115749999999998e-06,40,0.00010046299999999999,6.884513062427025e-10,0.007380194991784271
EIF4E2,2,233123600,233156593,2.3391162790697676e-06,43,0.00010058200000000001,2.3391162790697676e-06,2.3391162790697676e-06
ZBED4,22,48663314,48666830,8.440666666666667e-06,12,0.000101288,7.325459451243216e-10,0.007236966744013259
WDR73,15,82987014,82998528,5.9604705882352934e-06,17,0.00010132799999999999,1.212095626874439e-10,0.007096658892319217
NMB,15,82999363,83002806,7.237714285714285e-06,14,0.00010132799999999999,2.676776536601733e-10,0.00786951345245786
PLA2G2F,1,20338409,20349466,1.0144700000000001e-05,10,0.000101447,7.031156756327821e-11,0.006714621843070762
KCNQ3,8,133210437,133562186,4.014527559055118e-07,254,0.000101969,1.7003129527116099e-13,0.006853632987538952
OSBPL1A,18,20025630,20154745,1.5868000000000002e-06,65,0.00010314200000000001,1.5868000000000002e-06,1.5868000000000002e-06
HEBP1,12,13029845,13044488,5.1625e-06,20,0.00010325,5.1625e-06,5.1625e-06
C12orf42,12,102219862,102413879,1.0764639175257733e-06,97,0.00010441700000000001,1.0764639175257733e-06,1.0764639175257733e-06
ANP32E,1,148457478,148475084,8.759583333333333e-06,12,0.000105115,7.787617741238444e-12,0.006536607753958727
DCP1B,12,1925474,1983938,2.514214285714286e-06,42,0.00010559700000000001,5.0765722699127026e-11,0.00713443801085558
TMEM173,5,138835732,138842476,1.7722e-05,6,0.00010633200000000001,1.7722e-05,1.7722e-05
FOXR1,11,118354701,118357205,1.2104666666666666e-05,9,0.000108942,1.2104666666666666e-05,1.2104666666666666e-05
GLG1,16,73044199,73198518,1.3171807228915664e-06,83,0.000109326,2.211182067253111e-11,0.006935631080762297
CA14,1,148496841,148504102,1.09398e-05,10,0.000109398,4.050065739418987e-11,0.00793590893101954
APH1A,1,148504422,148508156,9.945272727272727e-06,11,0.000109398,9.945272727272727e-06,9.945272727272727e-06
C1orf54,1,148511825,148519951,8.41523076923077e-06,13,0.000109398,8.41523076923077e-06,8.41523076923077e-06
PRPF3,1,148572073,148585236,1.5641285714285715e-05,7,0.000109489,2.7038401341209456e-09,0.0072175139332942605
NLN,5,65117357,65155145,2.1731960784313725e-06,51,0.00011083299999999999,8.78763529452238e-13,0.00847041064495081
FHIT,3,59710460,61212173,8.244766146993319e-08,1347,0.000111057,3.394360447998687e-12,0.007022551648964599
OR1Q1,9,124416837,124417782,5.048363636363636e-06,22,0.00011106399999999999,5.048363636363636e-06,5.048363636363636e-06
OR1B1,9,124430678,124431635,5.845473684210526e-06,19,0.00011106399999999999,3.01552441861488e-11,0.006765506169065618
PPM1M,3,52257481,52259655,1.0124e-05,11,0.000111364,1.1596860605908938e-09,0.006987830007402668
WDR82,3,52263477,52287699,1.0124e-05,11,0.000111364,1.0124e-05,1.0124e-05
DPEP1,16,88224197,88232340,7.957571428571428e-06,14,0.000111406,1.2958284476036442e-10,0.007328456578622843
TTC7B,14,90076684,90352514,7.144615384615384e-07,156,0.000111456,7.144615384615384e-07,7.144615384615384e-07
CTNNA1,5,138239240,138298622,3.601774193548387e-06,31,0.000111655,5.538048085945071e-12,0.006940575346470894
TCERG1L,10,132786558,132948697,6.682202380952381e-07,168,0.000112261,6.682202380952381e-07,6.682202380952381e-07
CYP2C19,10,96512452,96602661,2.955684210526316e-06,38,0.000112316,4.542948852973375e-11,0.007048960883924112
SH3PXD2A,10,105343773,105605154,8.213623188405796e-07,138,0.00011334799999999999,4.9762631779511627e-11,0.00773120324477387
PDCD11,10,105146401,105196009,3.7085806451612907e-06,31,0.00011496600000000001,3.7085806451612907e-06,3.7085806451612907e-06
CALHM2,10,105198860,105202648,6.762705882352942e-06,17,0.00011496600000000001,6.762705882352942e-06,6.762705882352942e-06
ALG12,22,48682856,48698110,5.2873636363636365e-06,22,0.000116322,5.2873636363636365e-06,5.2873636363636365e-06
PCDH8,13,52316109,52320775,8.425428571428573e-06,14,0.00011795600000000001,3.2508403681822737e-10,0.007261684909234802
PTK7,6,43235253,43237429,1.4847e-05,8,0.000118776,1.0763940548234118e-09,0.007223197242583514
RPRD2,1,148603613,148715665,3.600545454545454e-06,33,0.00011881799999999999,4.0573133555964285e-11,0.007679686698094094
BRD1,22,48552940,48607200,4.5946538461538465e-06,26,0.000119461,8.387659252143544e-12,0.007690675179367979
